TempProTimeB,TP_B_meanCAL_1,TP_B_meanCAL_2,TP_B_meanCAL_3,TP_B_meanCAL_4,TP_B_meanCAL_5,TP_B_meanCAL_6
05/31/2016 02:30,12.4947533333333,14.01733,15.03233,16.17733,17.1265,17.53092
05/31/2016 02:40,12.4947533333333,14.01733,15.03233,16.1506633333333,17.1265,17.4442533333333
05/31/2016 02:50,12.4947533333333,14.01733,15.03233,16.1239966666667,17.0365,17.36092
05/31/2016 03:00,12.52142,14.01733,15.03233,16.09733,17.0365,17.30092
05/31/2016 03:10,12.4947533333333,14.0439966666667,15.03233,16.09733,17.0098333333333,17.22092
05/31/2016 03:20,12.4947533333333,14.0706633333333,15.03233,16.09733,16.9565,17.13092
05/31/2016 03:30,12.4947533333333,14.0706633333333,15.06233,16.09733,16.9265,17.04092
05/31/2016 03:40,12.52142,14.0706633333333,15.03233,16.09733,16.8665,16.96092
05/31/2016 03:50,12.52142,14.0706633333333,15.03233,16.09733,16.8365,16.87092
05/31/2016 04:00,12.52142,14.0706633333333,15.03233,16.06733,16.7765,16.78092
05/31/2016 04:10,12.52142,14.0706633333333,15.03233,16.00733,16.7498333333333,16.7542533333333
05/31/2016 04:20,12.52142,14.09733,15.03233,16.00733,16.6965,16.64092
05/31/2016 04:30,12.52142,14.09733,15.03233,16.00733,16.6665,16.61092
05/31/2016 04:40,12.52142,14.09733,15.03233,16.00733,16.6065,16.53092
05/31/2016 04:50,12.58142,14.09733,15.03233,16.00733,16.5798333333333,16.44092
05/31/2016 05:00,12.58142,14.09733,15.03233,15.91733,16.5265,16.35092
05/31/2016 05:10,12.55142,14.09733,15.03233,15.91733,16.4965,16.2975866666667
05/31/2016 05:20,12.58142,14.09733,15.03233,15.91733,16.4365,16.27092
05/31/2016 05:30,12.58142,14.09733,15.03233,15.91733,16.4065,16.18092
05/31/2016 05:40,12.58142,14.09733,15.00233,15.8906633333333,16.3465,16.10092
05/31/2016 05:50,12.58142,14.09733,15.00233,15.83733,16.2931666666667,16.07092
05/31/2016 06:00,12.61142,14.09733,14.97233,15.83733,16.2665,16.01092
05/31/2016 06:10,12.58142,14.09733,14.97233,15.83733,16.2365,15.8942533333333
05/31/2016 06:20,12.61142,14.09733,14.97233,15.80733,16.1765,15.92092
05/31/2016 06:30,12.58142,14.09733,14.97233,15.74733,16.1231666666667,15.84092
05/31/2016 06:40,12.61142,14.09733,14.97233,15.74733,16.0965,15.81092
05/31/2016 06:50,12.61142,14.09733,14.97233,15.74733,16.0365,15.75092
05/31/2016 07:00,12.61142,14.09733,14.9456633333333,15.71733,16.0065,15.66092
05/31/2016 07:10,12.61142,14.09733,14.9456633333333,15.65733,16.0065,15.66092
05/31/2016 07:20,12.61142,14.09733,14.9456633333333,15.65733,15.9165,15.58092
05/31/2016 07:30,12.61142,14.09733,14.8889966666667,15.65733,15.8898333333333,15.58092
05/31/2016 07:40,12.61142,14.09733,14.9189966666667,15.6306633333333,15.8365,15.49092
05/31/2016 07:50,12.61142,14.09733,14.89233,15.57733,15.8365,15.49092
05/31/2016 08:00,12.61142,14.09733,14.89233,15.57733,15.7765,15.46092
05/31/2016 08:10,12.61142,14.09733,14.89233,15.57733,15.7465,15.40092
05/31/2016 08:20,12.61142,14.09733,14.89233,15.54733,15.7165,15.3742533333333
05/31/2016 08:50,12.61142,14.0706633333333,14.86233,15.45733,15.5765,15.29092
05/31/2016 09:00,12.64142,14.09733,14.80233,15.42733,15.5765,15.23092
05/31/2016 09:10,12.70142,14.0706633333333,14.80233,15.39733,15.5465,15.23092
05/31/2016 09:20,12.67142,14.0706633333333,14.80233,15.3706633333333,15.4865,15.20092
05/31/2016 09:30,12.67142,14.0706633333333,14.80233,15.3706633333333,15.4865,15.14092
05/31/2016 09:40,12.64142,14.0439966666667,14.77233,15.3439966666667,15.4265,15.14092
05/31/2016 09:50,12.67142,14.0439966666667,14.77233,15.31733,15.3965,15.1142533333333
05/31/2016 10:00,12.67142,14.01733,14.74233,15.31733,15.3965,15.0875866666667
05/31/2016 10:10,12.67142,14.01733,14.71233,15.28733,15.3431666666667,15.06092
05/31/2016 10:20,12.70142,14.01733,14.71233,15.22733,15.3165,15.06092
05/31/2016 10:30,12.67142,14.01733,14.71233,15.22733,15.3165,15.06092
05/31/2016 10:40,12.67142,14.01733,14.6856633333333,15.22733,15.2865,15.06092
05/31/2016 10:50,12.67142,14.01733,14.6856633333333,15.22733,15.2265,15.06092
05/31/2016 11:00,12.70142,14.01733,14.6856633333333,15.19733,15.2265,15.06092
05/31/2016 11:10,12.70142,14.01733,14.6589966666667,15.13733,15.2265,15.06092
05/31/2016 11:20,12.67142,14.01733,14.63233,15.13733,15.1965,15.06092
05/31/2016 11:30,12.67142,13.98733,14.63233,15.13733,15.1965,15.06092
05/31/2016 11:40,12.67142,13.98733,14.63233,15.1106633333333,15.1365,15.06092
05/31/2016 11:50,12.70142,13.98733,14.60233,15.1106633333333,15.1365,15.06092
05/31/2016 12:00,12.67142,13.95733,14.60233,15.05733,15.1365,15.03092
05/31/2016 12:10,12.67142,13.95733,14.60233,15.05733,15.1098333333333,15.00092
05/31/2016 12:20,12.67142,13.92733,14.54233,15.05733,15.1098333333333,14.97092
05/31/2016 12:30,12.70142,13.92733,14.54233,15.02733,15.0565,14.97092
05/31/2016 12:40,12.67142,13.92733,14.54233,14.99733,15.0565,14.97092
05/31/2016 12:50,12.67142,13.92733,14.54233,14.96733,15.0565,14.9442533333333
05/31/2016 13:00,12.67142,13.92733,14.51233,14.96733,15.0565,14.9175866666667
05/31/2016 13:10,12.67142,13.89733,14.51233,14.96733,14.9965,14.89092
05/31/2016 13:20,12.67142,13.89733,14.48233,14.9406633333333,14.9665,14.89092
05/31/2016 13:30,12.67142,13.89733,14.45233,14.88733,14.9665,14.83092
05/31/2016 13:40,12.67142,13.89733,14.45233,14.88733,14.9665,14.83092
05/31/2016 13:50,12.67142,13.86733,14.45233,14.88733,14.9398333333333,14.80092
05/31/2016 14:00,12.70142,13.83733,14.45233,14.88733,14.9398333333333,14.80092
05/31/2016 14:10,12.67142,13.83733,14.42233,14.85733,14.8865,14.77092
05/31/2016 14:20,12.67142,13.83733,14.42233,14.85733,14.8865,14.74092
05/31/2016 14:30,12.67142,13.83733,14.42233,14.79733,14.8865,14.71092
05/31/2016 14:40,12.67142,13.83733,14.36233,14.79733,14.8565,14.71092
05/31/2016 14:50,12.67142,13.83733,14.36233,14.79733,14.7965,14.71092
05/31/2016 15:00,12.67142,13.83733,14.36233,14.79733,14.7965,14.71092
05/31/2016 15:10,12.70142,13.83733,14.36233,14.76733,14.7965,14.71092
05/31/2016 15:20,12.67142,13.8106633333333,14.3356633333333,14.76733,14.7965,14.71092
05/31/2016 15:30,12.70142,13.8106633333333,14.3356633333333,14.70733,14.7665,14.6842533333333
05/31/2016 15:40,12.64142,13.8106633333333,14.3356633333333,14.70733,14.7365,14.6842533333333
05/31/2016 15:50,12.64142,13.75733,14.28233,14.70733,14.7065,14.71092
05/31/2016 16:00,12.64142,13.75733,14.28233,14.70733,14.7065,14.71092
05/31/2016 16:10,12.67142,13.75733,14.28233,14.6806633333333,14.7065,14.71092
05/31/2016 16:20,12.67142,13.75733,14.28233,14.6539966666667,14.6798333333333,14.71092
05/31/2016 16:30,12.64142,13.75733,14.25233,14.62733,14.6798333333333,14.71092
05/31/2016 16:40,12.64142,13.75733,14.25233,14.62733,14.6798333333333,14.71092
05/31/2016 16:50,12.67142,13.75733,14.25233,14.62733,14.6798333333333,14.71092
05/31/2016 17:00,12.61142,13.72733,14.19233,14.62733,14.6265,14.6842533333333
05/31/2016 17:10,12.64142,13.72733,14.19233,14.59733,14.6265,14.71092
05/31/2016 17:20,12.61142,13.69733,14.19233,14.59733,14.6265,14.71092
05/31/2016 17:30,12.61142,13.72733,14.19233,14.56733,14.6265,14.71092
05/31/2016 17:40,12.61142,13.66733,14.19233,14.53733,14.6265,14.71092
05/31/2016 17:50,12.61142,13.66733,14.19233,14.53733,14.6265,14.71092
05/31/2016 18:00,12.61142,13.66733,14.16233,14.53733,14.6265,14.71092
05/31/2016 18:10,12.61142,13.66733,14.16233,14.53733,14.5965,14.6842533333333
05/31/2016 18:20,12.61142,13.66733,14.13233,14.53733,14.5965,14.71092
05/31/2016 18:30,12.61142,13.66733,14.10233,14.50733,14.5965,14.6575866666667
05/31/2016 18:40,12.61142,13.63733,14.10233,14.50733,14.5665,14.63092
05/31/2016 18:50,12.61142,13.63733,14.10233,14.44733,14.5365,14.63092
05/31/2016 19:00,12.61142,13.63733,14.10233,14.44733,14.5365,14.63092
05/31/2016 19:10,12.61142,13.60733,14.0489966666667,14.44733,14.5365,14.63092
05/31/2016 19:20,12.61142,13.63733,14.0756633333333,14.44733,14.5365,14.63092
05/31/2016 19:30,12.61142,13.60733,14.0756633333333,14.44733,14.5365,14.63092
05/31/2016 19:40,12.61142,13.57733,14.0489966666667,14.44733,14.5365,14.60092
05/31/2016 19:50,12.61142,13.5506633333333,14.02233,14.41733,14.5065,14.57092
05/31/2016 20:00,12.58142,13.57733,14.02233,14.41733,14.5065,14.54092
05/31/2016 20:10,12.61142,13.57733,14.02233,14.38733,14.5065,14.54092
05/31/2016 20:20,12.61142,13.57733,14.02233,14.35733,14.4465,14.54092
05/31/2016 20:30,12.61142,13.57733,14.02233,14.35733,14.4465,14.54092
05/31/2016 20:40,12.58142,13.57733,13.99233,14.35733,14.4465,14.51092
05/31/2016 20:50,12.58142,13.5506633333333,13.99233,14.35733,14.4465,14.45092
05/31/2016 21:00,12.58142,13.5506633333333,13.99233,14.35733,14.4465,14.45092
05/31/2016 21:10,12.58142,13.5506633333333,13.99233,14.35733,14.4465,14.45092
05/31/2016 21:20,12.58142,13.49733,13.99233,14.3306633333333,14.4165,14.45092
05/31/2016 21:30,12.58142,13.49733,13.96233,14.3306633333333,14.4165,14.42092
05/31/2016 21:40,12.58142,13.49733,13.93233,14.3039966666667,14.3565,14.36092
05/31/2016 21:50,12.58142,13.49733,13.93233,14.27733,14.3565,14.36092
05/31/2016 22:00,12.58142,13.49733,13.93233,14.27733,14.3565,14.36092
05/31/2016 22:10,12.58142,13.49733,13.93233,14.27733,14.3565,14.3342533333333
05/31/2016 22:20,12.55142,13.49733,13.90233,14.27733,14.3565,14.3075866666667
05/31/2016 22:30,12.58142,13.49733,13.90233,14.27733,14.3298333333333,14.28092
05/31/2016 22:40,12.52142,13.46733,13.90233,14.24733,14.2765,14.28092
05/31/2016 22:50,12.52142,13.46733,13.90233,14.27733,14.2765,14.28092
05/31/2016 23:00,12.52142,13.46733,13.87233,14.24733,14.2765,14.22092
05/31/2016 23:10,12.55142,13.46733,13.87233,14.18733,14.2765,14.19092
05/31/2016 23:20,12.52142,13.43733,13.84233,14.18733,14.2165,14.19092
05/31/2016 23:30,12.52142,13.40733,13.84233,14.18733,14.2465,14.19092
05/31/2016 23:40,12.52142,13.40733,13.84233,14.18733,14.1865,14.16092
05/31/2016 23:50,12.52142,13.40733,13.84233,14.18733,14.1865,14.16092
06/01/2016 00:00,12.52142,13.40733,13.84233,14.18733,14.1865,14.10092
06/01/2016 00:10,12.52142,13.40733,13.84233,14.15733,14.1865,14.10092
06/01/2016 00:20,12.52142,13.40733,13.8156633333333,14.15733,14.1565,14.10092
06/01/2016 00:30,12.52142,13.40733,13.8156633333333,14.12733,14.1565,14.0742533333333
06/01/2016 00:40,12.52142,13.40733,13.8156633333333,14.09733,14.0965,14.0742533333333
06/01/2016 00:50,12.52142,13.40733,13.7889966666667,14.09733,14.0965,13.99092
06/01/2016 01:00,12.52142,13.37733,13.7889966666667,14.09733,14.0965,14.02092
06/01/2016 01:10,12.52142,13.37733,13.76233,14.09733,14.0965,14.02092
06/01/2016 01:20,12.4947533333333,13.34733,13.76233,14.09733,14.0698333333333,14.02092
06/01/2016 01:30,12.52142,13.34733,13.76233,14.0706633333333,14.0431666666667,13.96092
06/01/2016 01:40,12.52142,13.31733,13.76233,14.0706633333333,14.0431666666667,13.93092
06/01/2016 01:50,12.4947533333333,13.31733,13.76233,14.01733,14.0165,13.93092
06/01/2016 02:00,12.4947533333333,13.31733,13.73233,14.01733,14.0165,13.93092
06/01/2016 02:10,12.4947533333333,13.31733,13.73233,14.01733,14.0165,13.93092
06/01/2016 02:20,12.4947533333333,13.31733,13.73233,14.01733,13.9865,13.90092
06/01/2016 02:30,12.4947533333333,13.31733,13.73233,14.01733,13.9865,13.87092
06/01/2016 02:40,12.4947533333333,13.31733,13.70233,14.01733,13.9565,13.84092
06/01/2016 02:50,12.4947533333333,13.31733,13.67233,13.98733,13.9265,13.84092
06/01/2016 03:00,12.4947533333333,13.28733,13.67233,13.98733,13.9265,13.84092
06/01/2016 03:10,12.4947533333333,13.28733,13.67233,13.95733,13.9265,13.84092
06/01/2016 03:20,12.4947533333333,13.28733,13.67233,13.92733,13.9265,13.8142533333333
06/01/2016 03:30,12.4680866666667,13.28733,13.67233,13.92733,13.8965,13.8142533333333
06/01/2016 03:40,12.44142,13.25733,13.64233,13.92733,13.8965,13.76092
06/01/2016 03:50,12.4680866666667,13.25733,13.64233,13.92733,13.8365,13.76092
06/01/2016 04:00,12.44142,13.22733,13.64233,13.92733,13.8365,13.76092
06/01/2016 04:10,12.44142,13.22733,13.64233,13.89733,13.8365,13.76092
06/01/2016 04:20,12.44142,13.22733,13.58233,13.86733,13.8365,13.76092
06/01/2016 04:30,12.44142,13.22733,13.58233,13.86733,13.8365,13.76092
06/01/2016 04:40,12.44142,13.22733,13.58233,13.83733,13.8365,13.73092
06/01/2016 04:50,12.44142,13.22733,13.58233,13.83733,13.8098333333333,13.73092
06/01/2016 05:00,12.44142,13.2006633333333,13.58233,13.83733,13.7831666666667,13.70092
06/01/2016 05:10,12.44142,13.2006633333333,13.58233,13.83733,13.7565,13.67092
06/01/2016 05:20,12.44142,13.2006633333333,13.5556633333333,13.83733,13.7565,13.67092
06/01/2016 05:30,12.44142,13.2006633333333,13.5556633333333,13.83733,13.7565,13.67092
06/01/2016 05:40,12.44142,13.2006633333333,13.5556633333333,13.8106633333333,13.7565,13.67092
06/01/2016 05:50,12.44142,13.2006633333333,13.5289966666667,13.75733,13.7565,13.67092
06/01/2016 06:00,12.44142,13.14733,13.5289966666667,13.75733,13.7565,13.64092
06/01/2016 06:10,12.44142,13.14733,13.50233,13.75733,13.7265,13.64092
06/01/2016 06:20,12.44142,13.14733,13.50233,13.75733,13.6965,13.58092
06/01/2016 06:30,12.44142,13.14733,13.44233,13.75733,13.6665,13.61092
06/01/2016 06:40,12.44142,13.14733,13.50233,13.75733,13.6665,13.61092
06/01/2016 06:50,12.41142,13.14733,13.50233,13.75733,13.6665,13.58092
06/01/2016 07:00,12.41142,13.14733,13.47233,13.72733,13.6665,13.58092
06/01/2016 07:10,12.44142,13.11733,13.47233,13.69733,13.6665,13.58092
