time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/4/2016 16:30,-0.028063086,-0.033833214,-0.032018376,-0.09354362,-0.11277738,-0.10672792
6/4/2016 16:45,-0.030324953,-0.031685755,-0.030240071,-0.101083177,-0.105619183,-0.100800237
6/4/2016 17:00,-0.028063086,-0.029806729,-0.028684055,-0.09354362,-0.099355763,-0.095613517
6/4/2016 17:15,-0.029031766,-0.037322835,-0.034908121,-0.096772553,-0.12440945,-0.116360403
6/4/2016 17:30,-0.027782169,-0.034198282,-0.032320688,-0.09260723,-0.113994273,-0.107735627
6/4/2016 17:45,-0.028910681,-0.035175376,-0.033129816,-0.096368937,-0.117251253,-0.11043272
6/4/2016 18:00,-0.027782169,-0.034198282,-0.032320688,-0.09260723,-0.113994273,-0.107735627
6/4/2016 18:15,-0.029196441,-0.034198282,-0.032320688,-0.09732147,-0.113994273,-0.107735627
6/4/2016 18:30,-0.028910681,-0.033564782,-0.031796088,-0.096368937,-0.111882607,-0.10598696
6/4/2016 18:45,-0.029196441,-0.032319256,-0.030764671,-0.09732147,-0.107730853,-0.102548903
6/4/2016 19:00,-0.028348847,-0.034198282,-0.032320688,-0.094496157,-0.113994273,-0.107735627
6/4/2016 19:15,-0.027501252,-0.034552613,-0.032614108,-0.09167084,-0.115175377,-0.108713693
6/4/2016 19:30,-0.029477358,-0.034101646,-0.032240664,-0.09825786,-0.113672153,-0.10746888
6/4/2016 19:45,-0.028063086,-0.036882606,-0.034543568,-0.09354362,-0.12294202,-0.115145227
6/4/2016 20:00,-0.028063086,-0.03222262,-0.030684647,-0.09354362,-0.107408733,-0.102282157
6/4/2016 20:15,-0.028063086,-0.03285612,-0.031209247,-0.09354362,-0.1095204,-0.104030823
6/4/2016 20:30,-0.026367897,-0.032587688,-0.030986959,-0.08789299,-0.108625627,-0.103289863
6/4/2016 20:45,-0.029758275,-0.033661417,-0.031876111,-0.09919425,-0.112204723,-0.106253703
6/4/2016 21:00,-0.028348847,-0.032405154,-0.030835803,-0.094496157,-0.10801718,-0.10278601
6/4/2016 21:15,-0.029758275,-0.030257695,-0.029057499,-0.09919425,-0.100858983,-0.09685833
6/4/2016 21:30,-0.027380167,-0.030257695,-0.029057499,-0.091267223,-0.100858983,-0.09685833
6/4/2016 21:45,-0.027380167,-0.032759485,-0.031129223,-0.091267223,-0.109198283,-0.103764077
6/4/2016 22:00,-0.028063086,-0.033124553,-0.031431535,-0.09354362,-0.110415177,-0.104771783
6/4/2016 22:15,-0.028348847,-0.034370079,-0.032462952,-0.094496157,-0.11456693,-0.10820984
6/4/2016 22:30,-0.028348847,-0.036614173,-0.03432128,-0.094496157,-0.122047243,-0.114404267
6/4/2016 22:45,-0.028508679,-0.034735147,-0.032765264,-0.09502893,-0.115783823,-0.109217547
6/4/2016 23:00,-0.028789596,-0.034466714,-0.032542976,-0.09596532,-0.114889047,-0.108476587
6/4/2016 23:15,-0.029075356,-0.032942019,-0.031280379,-0.096917853,-0.10980673,-0.10426793
6/4/2016 23:30,-0.026246812,-0.031062992,-0.029724363,-0.087489373,-0.103543307,-0.09908121
6/4/2016 23:45,-0.027380167,-0.036700072,-0.034392413,-0.091267223,-0.122333573,-0.114641377
6/5/2016 0:00,-0.027259082,-0.036700072,-0.034392413,-0.090863607,-0.122333573,-0.114641377
6/5/2016 0:15,-0.026411488,-0.038579098,-0.035948429,-0.088038293,-0.128596993,-0.119828097
6/5/2016 0:30,-0.026692405,-0.036077309,-0.033876704,-0.088974683,-0.120257697,-0.112922347
6/5/2016 0:45,-0.026692405,-0.034552613,-0.032614108,-0.088974683,-0.115175377,-0.108713693
6/5/2016 1:00,-0.026692405,-0.038310666,-0.035726141,-0.088974683,-0.12770222,-0.119087137
6/5/2016 1:15,-0.027820916,-0.037687903,-0.035210433,-0.092736387,-0.125626343,-0.11736811
6/5/2016 1:30,-0.028954271,-0.036163207,-0.033947836,-0.096514237,-0.120544023,-0.113159453
6/5/2016 1:45,-0.028547426,-0.035540444,-0.033432128,-0.095158087,-0.118468147,-0.111440427
6/5/2016 2:00,-0.028833186,-0.035540444,-0.033432128,-0.09611062,-0.118468147,-0.111440427
6/5/2016 2:15,-0.028833186,-0.031782391,-0.030320095,-0.09611062,-0.105941303,-0.101066983
6/5/2016 2:30,-0.027864507,-0.031782391,-0.030320095,-0.09288169,-0.105941303,-0.101066983
6/5/2016 2:45,-0.027176745,-0.03428418,-0.03239182,-0.09058915,-0.1142806,-0.107972733
6/5/2016 3:00,-0.027176745,-0.034015748,-0.032169532,-0.09058915,-0.113385827,-0.107231773
6/5/2016 3:15,-0.028024339,-0.035272011,-0.03320984,-0.093414463,-0.11757337,-0.110699467
6/5/2016 3:30,-0.02632915,-0.032759485,-0.031129223,-0.087763833,-0.109198283,-0.103764077
6/5/2016 3:45,-0.028871934,-0.037151038,-0.034765857,-0.09623978,-0.123836793,-0.11588619
6/5/2016 4:00,-0.027743422,-0.037773801,-0.035281565,-0.092478073,-0.12591267,-0.117605217
6/5/2016 4:15,-0.026208065,-0.037505369,-0.035059277,-0.087360217,-0.125017897,-0.116864257
6/5/2016 4:30,-0.028750849,-0.038128132,-0.035574985,-0.095836163,-0.127093773,-0.118583283
6/5/2016 4:45,-0.027622337,-0.035980673,-0.03379668,-0.092074457,-0.119935577,-0.1126556
6/5/2016 5:00,-0.027903254,-0.035980673,-0.03379668,-0.093010847,-0.119935577,-0.1126556
6/5/2016 5:15,-0.029317526,-0.034101646,-0.032240664,-0.097725087,-0.113672153,-0.10746888
6/5/2016 5:30,-0.027622337,-0.036614173,-0.03432128,-0.092074457,-0.122047243,-0.114404267
6/5/2016 5:45,-0.027622337,-0.034735147,-0.032765264,-0.092074457,-0.115783823,-0.109217547
6/5/2016 6:00,-0.027622337,-0.035712241,-0.033574392,-0.092074457,-0.119040803,-0.11191464
6/5/2016 6:15,-0.028750849,-0.036077309,-0.033876704,-0.095836163,-0.120257697,-0.112922347
6/5/2016 6:30,-0.029598443,-0.031685755,-0.030240071,-0.098661477,-0.105619183,-0.100800237
6/5/2016 6:45,-0.029317526,-0.029989263,-0.02883521,-0.097725087,-0.09996421,-0.096117367
