----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/02 00:30:00 428.293420 
    2016/06/02 00:45:00 428.296670 
    2016/06/02 01:00:00 428.290500 
    2016/06/02 01:15:00 428.289330 
    2016/06/02 01:30:00 428.289080 
    2016/06/02 01:45:00 428.286750 
    2016/06/02 02:00:00 428.288830 
    2016/06/02 02:15:00 428.286170 
    2016/06/02 02:30:00 428.288750 
    2016/06/02 02:45:00 428.288750 
    2016/06/02 03:00:00 428.286170 
    2016/06/02 03:15:00 428.287000 
    2016/06/02 03:30:00 428.281750 
    2016/06/02 03:45:00 428.283500 
    2016/06/02 04:00:00 428.281750 
    2016/06/02 04:15:00 428.281170 
    2016/06/02 04:30:00 428.282330 
    2016/06/02 04:45:00 428.284420 
    2016/06/02 05:00:00 428.279170 
    2016/06/02 05:15:00 428.280920 
    2016/06/02 05:30:00 428.280000 
    2016/06/02 05:45:00 428.276500 
    2016/06/02 06:00:00 428.282080 
    2016/06/02 06:15:00 428.278580 
    2016/06/02 06:30:00 428.276830 
    2016/06/02 06:45:00 428.275920 
    2016/06/02 07:00:00 428.279750 
    2016/06/02 07:15:00 428.272420 
    2016/06/02 07:30:00 428.277670 
    2016/06/02 07:45:00 428.275080 
    2016/06/02 08:00:00 428.273000 
    2016/06/02 08:15:00 428.273330 
    2016/06/02 08:30:00 428.272170 
    2016/06/02 08:45:00 428.271580 
    2016/06/02 09:00:00 428.269500 
    2016/06/02 09:15:00 428.269500 
    2016/06/02 09:30:00 428.262250 
    2016/06/02 09:45:00 428.262250 
    2016/06/02 10:00:00 428.265750 
    2016/06/02 10:15:00 428.264000 
    2016/06/02 10:30:00 428.262250 
    2016/06/02 10:45:00 428.263080 
    2016/06/02 11:00:00 428.262250 
    2016/06/02 11:15:00 428.257580 
    2016/06/02 11:30:00 428.258750 
    2016/06/02 11:45:00 428.261080 
    2016/06/02 12:00:00 428.258750 
    2016/06/02 12:15:00 428.262830 
    2016/06/02 12:30:00 428.258750 
    2016/06/02 12:45:00 428.260170 
    2016/06/02 13:00:00 428.261670 
    2016/06/02 13:15:00 428.259330 
    2016/06/02 13:30:00 428.258750 
    2016/06/02 13:45:00 428.259330 
    2016/06/02 14:00:00 428.253750 
    2016/06/02 14:15:00 428.257000 
    2016/06/02 14:30:00 428.253500 
    2016/06/02 14:45:00 428.252920 
    2016/06/02 15:00:00 428.253750 
    2016/06/02 15:15:00 428.253170 
    2016/06/02 15:30:00 428.254080 
    2016/06/02 15:45:00 428.257000 
    2016/06/02 16:00:00 428.254670 
    2016/06/02 16:15:00 428.251420 
    2016/06/02 16:30:00 428.251420 
    2016/06/02 16:45:00 428.253500 
    2016/06/02 17:00:00 428.250000 
    2016/06/02 17:15:00 428.250830 
    2016/06/02 17:30:00 428.252580 
    2016/06/02 17:45:00 428.250250 
    2016/06/02 18:00:00 428.251750 
    2016/06/02 18:15:00 428.253500 
    2016/06/02 18:30:00 428.252000 
    2016/06/02 18:45:00 428.254080 
    2016/06/02 19:00:00 428.255250 
    2016/06/02 19:15:00 428.254670 
    2016/06/02 19:30:00 428.252330 
    2016/06/02 19:45:00 428.252330 
    2016/06/02 20:00:00 428.253500 
    2016/06/02 20:15:00 428.255500 
    2016/06/02 20:30:00 428.252920 
    2016/06/02 20:45:00 428.257000 
    2016/06/02 21:00:00 428.257000 
    2016/06/02 21:15:00 428.257000 
    2016/06/02 21:30:00 428.257330 
    2016/06/02 21:45:00 428.256420 
    2016/06/02 22:00:00 428.255830 
    2016/06/02 22:15:00 428.255000 
    2016/06/02 22:30:00 428.257580 
    2016/06/02 22:45:00 428.252920 
    2016/06/02 23:00:00 428.257000 
    2016/06/02 23:15:00 428.254080 
    2016/06/02 23:30:00 428.251750 
    2016/06/02 23:45:00 428.253830 
    2016/06/03 00:00:00 428.252920 
    2016/06/03 00:15:00 428.251500 
    2016/06/03 00:30:00 428.249750 
    2016/06/03 00:45:00 428.253250 
    2016/06/03 01:00:00 428.250000 
    2016/06/03 01:15:00 428.248250 
    2016/06/03 01:30:00 428.250580 
    2016/06/03 01:45:00 428.245330 
    2016/06/03 02:00:00 428.248580 
    2016/06/03 02:15:00 428.247420 
    2016/06/03 02:30:00 428.247080 
    2016/06/03 02:45:00 428.247080 
    2016/06/03 03:00:00 428.248830 
    2016/06/03 03:15:00 428.247670 
    2016/06/03 03:30:00 428.245920 
    2016/06/03 03:45:00 428.248250 
    2016/06/03 04:00:00 428.243000 
    2016/06/03 04:15:00 428.246500 
    2016/06/03 04:30:00 428.238670 
    2016/06/03 04:45:00 428.245330 
    2016/06/03 05:00:00 428.243330 
    2016/06/03 05:15:00 428.240080 
    2016/06/03 05:30:00 428.242170 
    2016/06/03 05:45:00 428.241000 
    2016/06/03 06:00:00 428.244750 
    2016/06/03 06:15:00 428.242420 
    2016/06/03 06:30:00 428.237750 
    2016/06/03 06:45:00 428.236000 
    2016/06/03 07:00:00 428.236000 
    2016/06/03 07:15:00 428.234250 
    2016/06/03 07:30:00 428.232500 
    2016/06/03 07:45:00 428.230170 
    2016/06/03 08:00:00 428.230170 
    2016/06/03 08:15:00 428.226670 
    2016/06/03 08:30:00 428.230170 
    2016/06/03 08:45:00 428.227830 
    2016/06/03 09:00:00 428.229580 
    2016/06/03 09:15:00 428.230750 
    2016/06/03 09:30:00 428.226920 
    2016/06/03 09:45:00 428.231920 
    2016/06/03 10:00:00 428.228080 
    2016/06/03 10:15:00 428.230420 
    2016/06/03 10:30:00 428.231330 
    2016/06/03 10:45:00 428.233080 
    2016/06/03 11:00:00 428.230420 
    2016/06/03 11:15:00 428.235080 
    2016/06/03 11:30:00 428.232170 
    2016/06/03 11:45:00 428.237750 
    2016/06/03 12:00:00 428.233920 
    2016/06/03 12:15:00 428.233920 
    2016/06/03 12:30:00 428.232170 
    2016/06/03 12:45:00 428.233670 
    2016/06/03 13:00:00 428.234500 
    2016/06/03 13:15:00 428.235080 
    2016/06/03 13:30:00 428.237170 
    2016/06/03 13:45:00 428.233920 
    2016/06/03 14:00:00 428.235670 
    2016/06/03 14:15:00 428.236580 
    2016/06/03 14:30:00 428.237170 
    2016/06/03 14:45:00 428.238330 
    2016/06/03 15:00:00 428.236250 
    2016/06/03 15:15:00 428.236580 
    2016/06/03 15:30:00 428.237420 
    2016/06/03 15:45:00 428.240330 
    2016/06/03 16:00:00 428.241500 
    2016/06/03 16:15:00 428.238000 
    2016/06/03 16:30:00 428.236830 
    2016/06/03 16:45:00 428.235080 
    2016/06/03 17:00:00 428.239750 
    2016/06/03 17:15:00 428.238000 
    2016/06/03 17:30:00 428.244750 
    2016/06/03 17:45:00 428.243250 
    2016/06/03 18:00:00 428.247080 
    2016/06/03 18:15:00 428.247580 
    2016/06/03 18:30:00 428.249080 
    2016/06/03 18:45:00 428.250000 
    2016/06/03 19:00:00 428.254080 
    2016/06/03 19:15:00 428.256670 
    2016/06/03 19:30:00 428.253500 
    2016/06/03 19:45:00 428.256080 
    2016/06/03 20:00:00 428.255250 
    2016/06/03 20:15:00 428.261920 
    2016/06/03 20:30:00 428.261670 
    2016/06/03 20:45:00 428.261330 
    2016/06/03 21:00:00 428.265420 
    2016/06/03 21:15:00 428.268670 
    2016/06/03 21:30:00 428.266580 
    2016/06/03 21:45:00 428.264830 
    2016/06/03 22:00:00 428.267830 
    2016/06/03 22:15:00 428.269830 
    2016/06/03 22:30:00 428.274500 
    2016/06/03 22:45:00 428.268330 
    2016/06/03 23:00:00 428.273920 
    2016/06/03 23:15:00 428.271580 
    2016/06/03 23:30:00 428.271000 
    2016/06/03 23:45:00 428.274500 
    2016/06/04 00:00:00 428.275330 
    2016/06/04 00:15:00 428.271830 
    2016/06/04 00:30:00 428.274250 
    2016/06/04 00:45:00 428.277080 
    2016/06/04 01:00:00 428.276250 
    2016/06/04 01:15:00 428.275670 
    2016/06/04 01:30:00 428.274170 
    2016/06/04 01:45:00 428.276250 
    2016/06/04 02:00:00 428.275330 
    2016/06/04 02:15:00 428.281170 
