Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 10:04:16,3.23985558E-40
5/31/2016 10:07:09,3.23974236E-40
5/31/2016 10:10:36,3.23986578E-40
5/31/2016 10:11:52,3.23982192E-40
5/31/2016 10:14:16,3.27872574E-40
5/31/2016 10:17:09,3.27855948E-40
5/31/2016 10:20:36,3.27833508E-40
5/31/2016 10:21:52,3.27827694E-40
5/31/2016 10:24:16,3.3561111E-40
5/31/2016 10:27:09,3.35595504E-40
5/31/2016 10:30:36,3.35573574E-40
5/31/2016 10:31:52,3.35566434E-40
5/31/2016 10:34:16,3.31648206E-40
5/31/2016 10:37:09,3.31627602E-40
5/31/2016 10:40:36,3.31605672E-40
5/31/2016 10:41:52,3.3159792E-40
5/31/2016 10:44:16,3.2768367E-40
5/31/2016 10:47:09,3.27663474E-40
5/31/2016 10:50:36,3.27641952E-40
5/31/2016 10:51:52,3.27634608E-40
5/31/2016 10:54:16,3.31524174E-40
5/31/2016 10:57:09,3.31507854E-40
5/31/2016 11:00:36,3.31487352E-40
5/31/2016 11:01:52,3.31481334E-40
5/31/2016 11:04:16,3.23671704E-40
5/31/2016 11:07:09,3.23654364E-40
5/31/2016 11:10:36,3.23634984E-40
5/31/2016 11:11:52,3.2362917E-40
5/31/2016 11:14:16,3.19712574E-40
5/31/2016 11:17:09,3.19694826E-40
5/31/2016 11:20:36,3.19676058E-40
5/31/2016 11:21:52,3.1966953E-40
5/31/2016 11:24:16,3.31345776E-40
5/31/2016 11:27:09,3.3132711E-40
5/31/2016 11:30:36,3.31309668E-40
5/31/2016 11:31:52,3.31303038E-40
5/31/2016 11:34:16,3.27392664E-40
5/31/2016 11:37:09,3.27374202E-40
5/31/2016 11:40:36,3.27354006E-40
5/31/2016 11:41:52,3.27347784E-40
5/31/2016 11:44:16,3.23444448E-40
5/31/2016 11:47:09,3.23427312E-40
5/31/2016 11:50:36,3.23408238E-40
5/31/2016 11:51:52,3.23402832E-40
5/31/2016 11:54:16,3.35071326E-40
5/31/2016 11:57:09,3.35053272E-40
5/31/2016 12:00:36,3.35034708E-40
5/31/2016 12:01:52,3.35027466E-40
5/31/2016 12:04:16,3.38900712E-40
5/31/2016 12:07:09,3.3888174E-40
5/31/2016 12:10:36,3.388593E-40
5/31/2016 12:11:52,3.38850936E-40
5/31/2016 12:14:16,3.34938828E-40
5/31/2016 12:17:09,3.34916184E-40
5/31/2016 12:20:36,3.34892418E-40
5/31/2016 12:21:52,3.34884054E-40
5/31/2016 12:24:16,3.27087174E-40
5/31/2016 12:27:09,3.2706708E-40
5/31/2016 12:30:36,3.27045252E-40
5/31/2016 12:31:52,3.2703852E-40
5/31/2016 12:34:16,3.30912276E-40
5/31/2016 12:37:09,3.3089463E-40
5/31/2016 12:40:36,3.30876372E-40
5/31/2016 12:41:52,3.30869436E-40
5/31/2016 12:44:16,3.38632758E-40
5/31/2016 12:47:09,3.3861501E-40
5/31/2016 12:50:36,3.38592876E-40
5/31/2016 12:51:52,3.38584716E-40
5/31/2016 12:54:16,3.38566356E-40
5/31/2016 12:57:09,3.38545242E-40
5/31/2016 13:00:36,3.38521476E-40
5/31/2016 13:01:52,3.38513112E-40
5/31/2016 13:04:16,3.30713886E-40
5/31/2016 13:07:09,3.30691752E-40
5/31/2016 13:10:36,3.30667986E-40
5/31/2016 13:11:52,3.3065952E-40
5/31/2016 13:14:16,3.26755062E-40
5/31/2016 13:17:09,3.2673405E-40
