Time_trim_C,TP_C_meanCAL_1,TP_C_meanCAL_2,TP_C_meanCAL_3,TP_C_meanCAL_4,TP_C_meanCAL_5,TP_C_meanCAL_6
31-May-2016 03:40:00,13.22142,14.62733,15.58233,16.52733,17.2965,16.93092
31-May-2016 03:50:00,13.25142,14.62733,15.58233,16.49733,17.2965,16.87092
31-May-2016 04:00:00,13.22142,14.62733,15.58233,16.46733,17.1865,16.7542533333333
31-May-2016 04:10:00,13.25142,14.62733,15.58233,16.43733,17.2165,16.70092
31-May-2016 04:20:00,13.25142,14.62733,15.58233,16.43733,17.1265,16.61092
31-May-2016 04:30:00,13.28142,14.62733,15.58233,16.43733,17.1265,16.53092
31-May-2016 04:40:00,13.25142,14.62733,15.58233,16.40733,17.0365,16.47092
31-May-2016 04:50:00,13.28142,14.62733,15.58233,16.40733,17.0365,16.41092
31-May-2016 05:00:00,13.25142,14.62733,15.58233,16.40733,16.9565,16.35092
31-May-2016 05:10:00,13.28142,14.62733,15.58233,16.34733,16.9565,16.27092
31-May-2016 05:20:00,13.28142,14.62733,15.58233,16.34733,16.8665,16.18092
31-May-2016 05:30:00,13.28142,14.62733,15.58233,16.34733,16.8665,16.1542533333333
31-May-2016 05:40:00,13.28142,14.62733,15.58233,16.3206633333333,16.7765,16.10092
31-May-2016 05:50:00,13.28142,14.6539966666667,15.58233,16.26733,16.7765,16.01092
31-May-2016 06:00:00,13.28142,14.6806633333333,15.55233,16.26733,16.6965,15.98092
31-May-2016 06:10:00,13.28142,14.6539966666667,15.58233,16.26733,16.6965,15.92092
31-May-2016 06:20:00,13.28142,14.6539966666667,15.55233,16.26733,16.6665,15.8942533333333
31-May-2016 06:30:00,13.28142,14.6806633333333,15.55233,16.20733,16.6065,15.84092
31-May-2016 06:40:00,13.28142,14.6806633333333,15.55233,16.17733,16.5798333333333,15.78092
31-May-2016 06:50:00,13.28142,14.6806633333333,15.55233,16.17733,16.5265,15.75092
31-May-2016 07:00:00,13.28142,14.6806633333333,15.49233,16.17733,16.5265,15.72092
31-May-2016 07:10:00,13.28142,14.6806633333333,15.49233,16.1506633333333,16.4365,15.66092
31-May-2016 07:20:00,13.28142,14.6806633333333,15.49233,16.09733,16.4365,15.58092
31-May-2016 07:30:00,13.31142,14.6539966666667,15.49233,16.09733,16.3765,15.6342533333333
31-May-2016 07:40:00,13.28142,14.6806633333333,15.49233,16.09733,16.3465,15.6075866666667
31-May-2016 07:50:00,13.31142,14.6806633333333,15.49233,16.09733,16.3198333333333,15.55092
31-May-2016 08:00:00,13.31142,14.6539966666667,15.49233,16.00733,16.2665,15.49092
31-May-2016 08:10:00,13.31142,14.6806633333333,15.49233,16.00733,16.2665,15.43092
31-May-2016 08:20:00,13.31142,14.6806633333333,15.49233,16.00733,16.2065,15.40092
31-May-2016 08:50:00,13.28142,14.6806633333333,15.46233,15.91733,16.1231666666667,15.32092
31-May-2016 09:00:00,13.31142,14.6806633333333,15.43233,15.91733,16.0965,15.32092
31-May-2016 09:10:00,13.31142,14.6806633333333,15.40233,15.91733,16.0665,15.23092
31-May-2016 09:20:00,13.31142,14.62733,15.40233,15.8906633333333,16.0065,15.23092
31-May-2016 09:30:00,13.31142,14.6539966666667,15.40233,15.8906633333333,16.0065,15.20092
31-May-2016 09:40:00,13.31142,14.62733,15.40233,15.83733,15.9765,15.14092
31-May-2016 09:50:00,13.31142,14.6539966666667,15.40233,15.83733,15.9165,15.14092
31-May-2016 10:00:00,13.31142,14.62733,15.40233,15.80733,15.9165,15.20092
31-May-2016 10:10:00,13.31142,14.6539966666667,15.3756633333333,15.80733,15.8898333333333,15.14092
31-May-2016 10:20:00,13.31142,14.62733,15.3756633333333,15.74733,15.8898333333333,15.23092
31-May-2016 10:30:00,13.28142,14.62733,15.3756633333333,15.74733,15.8365,15.32092
31-May-2016 10:40:00,13.31142,14.62733,15.32233,15.74733,15.8365,15.32092
31-May-2016 10:50:00,13.31142,14.62733,15.32233,15.74733,15.8365,15.32092
31-May-2016 11:00:00,13.31142,14.62733,15.32233,15.71733,15.8065,15.23092
31-May-2016 11:10:00,13.31142,14.62733,15.32233,15.65733,15.8065,15.20092
31-May-2016 11:20:00,13.31142,14.62733,15.32233,15.65733,15.7765,15.14092
31-May-2016 11:30:00,13.31142,14.62733,15.32233,15.65733,15.7465,15.17092
31-May-2016 11:40:00,13.31142,14.62733,15.29233,15.65733,15.7465,15.17092
31-May-2016 11:50:00,13.31142,14.62733,15.32233,15.6039966666667,15.7465,15.14092
31-May-2016 12:00:00,13.34142,14.62733,15.29233,15.6039966666667,15.7165,15.0875866666667
31-May-2016 12:10:00,13.31142,14.62733,15.26233,15.57733,15.6865,15.06092
31-May-2016 12:20:00,13.31142,14.62733,15.23233,15.57733,15.6565,15.06092
31-May-2016 12:30:00,13.31142,14.62733,15.23233,15.57733,15.6565,15.03092
31-May-2016 12:40:00,13.34142,14.62733,15.23233,15.54733,15.6565,15.03092
31-May-2016 12:50:00,13.31142,14.62733,15.23233,15.54733,15.6298333333333,14.97092
31-May-2016 13:00:00,13.34142,14.62733,15.23233,15.48733,15.5765,14.97092
31-May-2016 13:10:00,13.31142,14.59733,15.23233,15.48733,15.5765,14.9442533333333
31-May-2016 13:20:00,13.31142,14.59733,15.23233,15.48733,15.5765,14.89092
31-May-2016 13:30:00,13.37142,14.59733,15.20233,15.48733,15.5465,14.89092
31-May-2016 13:40:00,13.37142,14.59733,15.20233,15.48733,15.5165,14.89092
31-May-2016 13:50:00,13.34142,14.59733,15.17233,15.45733,15.4865,14.86092
31-May-2016 14:00:00,13.34142,14.59733,15.14233,15.42733,15.4865,14.80092
31-May-2016 14:10:00,13.34142,14.56733,15.14233,15.39733,15.4865,14.80092
31-May-2016 14:20:00,13.34142,14.56733,15.14233,15.39733,15.4865,14.80092
31-May-2016 14:30:00,13.34142,14.56733,15.14233,15.39733,15.4565,14.80092
31-May-2016 14:40:00,13.31142,14.53733,15.14233,15.39733,15.3965,14.71092
31-May-2016 14:50:00,13.37142,14.53733,15.14233,15.3706633333333,15.3965,14.71092
31-May-2016 15:00:00,13.34142,14.53733,15.14233,15.3439966666667,15.3965,14.71092
31-May-2016 15:10:00,13.37142,14.53733,15.1156633333333,15.31733,15.3698333333333,14.74092
31-May-2016 15:20:00,13.37142,14.53733,15.0889966666667,15.31733,15.3165,14.74092
31-May-2016 15:30:00,13.34142,14.53733,15.0889966666667,15.31733,15.3165,14.77092
31-May-2016 15:40:00,13.37142,14.53733,15.06233,15.31733,15.3165,14.80092
31-May-2016 15:50:00,13.34142,14.53733,15.06233,15.31733,15.3165,14.80092
31-May-2016 16:00:00,13.34142,14.53733,15.06233,15.25733,15.3165,14.80092
31-May-2016 16:10:00,13.37142,14.53733,15.06233,15.22733,15.3165,14.80092
31-May-2016 16:20:00,13.37142,14.50733,15.06233,15.22733,15.2865,14.77092
31-May-2016 16:30:00,13.37142,14.50733,15.06233,15.22733,15.2865,14.71092
31-May-2016 16:40:00,13.34142,14.50733,15.03233,15.22733,15.2265,14.71092
31-May-2016 16:50:00,13.37142,14.50733,15.03233,15.22733,15.2265,14.74092
31-May-2016 17:00:00,13.34142,14.47733,14.97233,15.19733,15.2265,14.77092
31-May-2016 17:10:00,13.37142,14.50733,14.97233,15.19733,15.2265,14.80092
31-May-2016 17:20:00,13.37142,14.50733,14.97233,15.16733,15.2265,14.80092
31-May-2016 17:30:00,13.37142,14.50733,14.97233,15.13733,15.2265,14.80092
31-May-2016 17:40:00,13.40142,14.50733,14.97233,15.13733,15.2265,14.77092
31-May-2016 17:50:00,13.37142,14.47733,14.97233,15.13733,15.1965,14.80092
31-May-2016 18:00:00,13.37142,14.44733,14.97233,15.13733,15.1965,14.80092
31-May-2016 18:10:00,13.37142,14.44733,14.97233,15.13733,15.1665,14.77092
31-May-2016 18:20:00,13.34142,14.44733,14.9456633333333,15.13733,15.1665,14.71092
31-May-2016 18:30:00,13.37142,14.44733,14.9456633333333,15.1106633333333,15.1365,14.71092
31-May-2016 18:40:00,13.37142,14.44733,14.9456633333333,15.0839966666667,15.1365,14.71092
31-May-2016 18:50:00,13.34142,14.44733,14.89233,15.05733,15.1365,14.71092
31-May-2016 19:00:00,13.37142,14.44733,14.89233,15.05733,15.1365,14.6842533333333
31-May-2016 19:10:00,13.37142,14.41733,14.89233,15.05733,15.1365,14.6842533333333
31-May-2016 19:20:00,13.37142,14.44733,14.89233,15.05733,15.1365,14.6842533333333
31-May-2016 19:30:00,13.37142,14.44733,14.89233,15.05733,15.1098333333333,14.6575866666667
31-May-2016 19:40:00,13.34142,14.41733,14.89233,15.05733,15.1098333333333,14.63092
31-May-2016 19:50:00,13.34142,14.41733,14.89233,15.02733,15.1098333333333,14.63092
31-May-2016 20:00:00,13.37142,14.41733,14.89233,15.02733,15.0565,14.63092
31-May-2016 20:10:00,13.37142,14.41733,14.86233,14.99733,15.0565,14.60092
31-May-2016 20:20:00,13.37142,14.41733,14.86233,14.99733,15.0565,14.57092
31-May-2016 20:30:00,13.34142,14.41733,14.83233,14.96733,15.0565,14.54092
31-May-2016 20:40:00,13.34142,14.38733,14.80233,14.96733,15.0565,14.54092
31-May-2016 20:50:00,13.37142,14.35733,14.80233,14.96733,15.0565,14.51092
31-May-2016 21:00:00,13.34142,14.35733,14.80233,14.96733,14.9965,14.45092
31-May-2016 21:10:00,13.34142,14.35733,14.80233,14.96733,14.9665,14.45092
31-May-2016 21:20:00,13.31142,14.35733,14.80233,14.96733,14.9665,14.45092
31-May-2016 21:30:00,13.34142,14.35733,14.80233,14.9406633333333,14.9665,14.42092
31-May-2016 21:40:00,13.37142,14.35733,14.80233,14.9139966666667,14.9665,14.36092
31-May-2016 21:50:00,13.34142,14.35733,14.80233,14.9139966666667,14.9665,14.36092
31-May-2016 22:00:00,13.31142,14.35733,14.77233,14.88733,14.9398333333333,14.36092
31-May-2016 22:10:00,13.31142,14.35733,14.77233,14.88733,14.8865,14.28092
