Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 10:04:16,1.87060452E-33
5/31/2016 10:07:09,1.87053924E-33
5/31/2016 10:10:36,1.87060962E-33
5/31/2016 10:11:52,1.87058412E-33
5/31/2016 10:14:16,1.89304656E-33
5/31/2016 10:17:09,1.89294966E-33
5/31/2016 10:20:36,1.89282216E-33
5/31/2016 10:21:52,1.89278646E-33
5/31/2016 10:24:16,1.93772664E-33
5/31/2016 10:27:09,1.93763586E-33
5/31/2016 10:30:36,1.93751142E-33
5/31/2016 10:31:52,1.93746858E-33
5/31/2016 10:34:16,1.91484498E-33
5/31/2016 10:37:09,1.91472666E-33
5/31/2016 10:40:36,1.9146012E-33
5/31/2016 10:41:52,1.91455632E-33
5/31/2016 10:44:16,1.89195618E-33
5/31/2016 10:47:09,1.89183888E-33
5/31/2016 10:50:36,1.89171342E-33
5/31/2016 10:51:52,1.89167262E-33
5/31/2016 10:54:16,1.91412996E-33
5/31/2016 10:57:09,1.9140351E-33
5/31/2016 11:00:36,1.9139178E-33
5/31/2016 11:01:52,1.91388312E-33
5/31/2016 11:04:16,1.86879096E-33
5/31/2016 11:07:09,1.868691E-33
5/31/2016 11:10:36,1.86857982E-33
5/31/2016 11:11:52,1.86854616E-33
5/31/2016 11:14:16,1.84593174E-33
5/31/2016 11:17:09,1.84583076E-33
5/31/2016 11:20:36,1.84572162E-33
5/31/2016 11:21:52,1.84568388E-33
5/31/2016 11:24:16,1.91310078E-33
5/31/2016 11:27:09,1.91299164E-33
5/31/2016 11:30:36,1.9128927E-33
5/31/2016 11:31:52,1.91285292E-33
5/31/2016 11:34:16,1.89027522E-33
5/31/2016 11:37:09,1.89016812E-33
5/31/2016 11:40:36,1.89005286E-33
5/31/2016 11:41:52,1.89001716E-33
5/31/2016 11:44:16,1.86748026E-33
5/31/2016 11:47:09,1.86738132E-33
5/31/2016 11:50:36,1.86727014E-33
5/31/2016 11:51:52,1.86724056E-33
5/31/2016 11:54:16,1.93460952E-33
5/31/2016 11:57:09,1.93450548E-33
5/31/2016 12:00:36,1.93439838E-33
5/31/2016 12:01:52,1.93435656E-33
5/31/2016 12:04:16,1.95671904E-33
5/31/2016 12:07:09,1.9566099E-33
5/31/2016 12:10:36,1.95648036E-33
5/31/2016 12:11:52,1.95643344E-33
5/31/2016 12:14:16,1.93384554E-33
5/31/2016 12:17:09,1.933716E-33
5/31/2016 12:20:36,1.93357728E-33
5/31/2016 12:21:52,1.93352832E-33
5/31/2016 12:24:16,1.88851266E-33
5/31/2016 12:27:09,1.88839638E-33
5/31/2016 12:30:36,1.8882699E-33
5/31/2016 12:31:52,1.88823114E-33
5/31/2016 12:34:16,1.9105977E-33
5/31/2016 12:37:09,1.91049366E-33
5/31/2016 12:40:36,1.91039064E-33
5/31/2016 12:41:52,1.91034882E-33
5/31/2016 12:44:16,1.95517374E-33
5/31/2016 12:47:09,1.9550697E-33
5/31/2016 12:50:36,1.95494322E-33
5/31/2016 12:51:52,1.9548963E-33
5/31/2016 12:54:16,1.9547892E-33
5/31/2016 12:57:09,1.95466782E-33
5/31/2016 13:00:36,1.95453114E-33
5/31/2016 13:01:52,1.95448218E-33
5/31/2016 13:04:16,1.90945122E-33
5/31/2016 13:07:09,1.90932372E-33
5/31/2016 13:10:36,1.90918602E-33
5/31/2016 13:11:52,1.90913808E-33
5/31/2016 13:14:16,1.88659404E-33
5/31/2016 13:17:09,1.88647266E-33
5/31/2016 13:20:36,1.88634312E-33
5/31/2016 13:21:52,1.88629722E-33
5/31/2016 13:24:16,1.90862706E-33
5/31/2016 13:27:09,1.90851894E-33
