----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/02 00:45:00 428.629250 
    2016/06/02 01:00:00 428.627750 
    2016/06/02 01:15:00 428.624250 
    2016/06/02 01:30:00 428.622250 
    2016/06/02 01:45:00 428.622250 
    2016/06/02 02:00:00 428.623750 
    2016/06/02 02:15:00 428.620500 
    2016/06/02 02:30:00 428.619000 
    2016/06/02 02:45:00 428.623090 
    2016/06/02 03:00:00 428.618750 
    2016/06/02 03:15:00 428.617250 
    2016/06/02 03:30:00 428.617840 
    2016/06/02 03:45:00 428.617840 
    2016/06/02 04:00:00 428.616090 
    2016/06/02 04:15:00 428.617840 
    2016/06/02 04:30:00 428.616090 
    2016/06/02 04:45:00 428.617590 
    2016/06/02 05:00:00 428.616420 
    2016/06/02 05:15:00 428.614670 
    2016/06/02 05:30:00 428.614920 
    2016/06/02 05:45:00 428.611420 
    2016/06/02 06:00:00 428.610590 
    2016/06/02 06:15:00 428.611170 
    2016/06/02 06:30:00 428.611170 
    2016/06/02 06:45:00 428.609670 
    2016/06/02 07:00:00 428.612920 
    2016/06/02 07:15:00 428.610250 
    2016/06/02 07:30:00 428.612000 
    2016/06/02 07:45:00 428.608250 
    2016/06/02 08:00:00 428.610250 
    2016/06/02 08:15:00 428.610590 
    2016/06/02 08:30:00 428.610000 
    2016/06/02 08:45:00 428.610590 
    2016/06/02 09:00:00 428.605590 
    2016/06/02 09:15:00 428.603250 
    2016/06/02 09:30:00 428.601840 
    2016/06/02 09:45:00 428.598340 
    2016/06/02 10:00:00 428.603590 
    2016/06/02 10:15:00 428.598340 
    2016/06/02 10:30:00 428.598340 
    2016/06/02 10:45:00 428.596840 
    2016/06/02 11:00:00 428.596590 
    2016/06/02 11:15:00 428.594840 
    2016/06/02 11:30:00 428.594840 
    2016/06/02 11:45:00 428.593090 
    2016/06/02 12:00:00 428.593090 
    2016/06/02 12:15:00 428.594840 
    2016/06/02 12:30:00 428.591340 
    2016/06/02 12:45:00 428.589840 
    2016/06/02 13:00:00 428.593090 
    2016/06/02 13:15:00 428.589590 
    2016/06/02 13:30:00 428.591340 
    2016/06/02 13:45:00 428.591340 
    2016/06/02 14:00:00 428.584000 
    2016/06/02 14:15:00 428.589590 
    2016/06/02 14:30:00 428.589590 
    2016/06/02 14:45:00 428.587840 
    2016/06/02 15:00:00 428.588090 
    2016/06/02 15:15:00 428.588090 
    2016/06/02 15:30:00 428.589000 
    2016/06/02 15:45:00 428.589000 
    2016/06/02 16:00:00 428.585500 
    2016/06/02 16:15:00 428.585750 
    2016/06/02 16:30:00 428.589250 
    2016/06/02 16:45:00 428.587250 
    2016/06/02 17:00:00 428.583750 
    2016/06/02 17:15:00 428.585750 
    2016/06/02 17:30:00 428.585750 
    2016/06/02 17:45:00 428.585750 
    2016/06/02 18:00:00 428.589000 
    2016/06/02 18:15:00 428.585500 
    2016/06/02 18:30:00 428.585750 
    2016/06/02 18:45:00 428.589000 
    2016/06/02 19:00:00 428.590750 
    2016/06/02 19:15:00 428.585500 
    2016/06/02 19:30:00 428.585500 
    2016/06/02 19:45:00 428.583750 
    2016/06/02 20:00:00 428.587250 
    2016/06/02 20:15:00 428.589250 
    2016/06/02 20:30:00 428.590750 
    2016/06/02 20:45:00 428.590750 
    2016/06/02 21:00:00 428.594250 
    2016/06/02 21:15:00 428.592500 
    2016/06/02 21:30:00 428.594000 
    2016/06/02 21:45:00 428.594840 
    2016/06/02 22:00:00 428.590750 
    2016/06/02 22:15:00 428.592840 
    2016/06/02 22:30:00 428.592500 
    2016/06/02 22:45:00 428.589000 
    2016/06/02 23:00:00 428.591340 
    2016/06/02 23:15:00 428.589590 
    2016/06/02 23:30:00 428.589590 
    2016/06/02 23:45:00 428.591090 
    2016/06/03 00:00:00 428.591340 
    2016/06/03 00:15:00 428.592840 
    2016/06/03 00:30:00 428.591090 
    2016/06/03 00:45:00 428.591090 
    2016/06/03 01:00:00 428.589000 
    2016/06/03 01:15:00 428.591340 
    2016/06/03 01:30:00 428.589000 
    2016/06/03 01:45:00 428.589000 
    2016/06/03 02:00:00 428.592250 
    2016/06/03 02:15:00 428.588750 
    2016/06/03 02:30:00 428.590750 
    2016/06/03 02:45:00 428.590750 
    2016/06/03 03:00:00 428.590750 
    2016/06/03 03:15:00 428.590750 
    2016/06/03 03:30:00 428.592500 
    2016/06/03 03:45:00 428.592500 
    2016/06/03 04:00:00 428.590170 
    2016/06/03 04:15:00 428.591920 
    2016/06/03 04:30:00 428.590500 
    2016/06/03 04:45:00 428.590750 
    2016/06/03 05:00:00 428.592250 
    2016/06/03 05:15:00 428.589000 
    2016/06/03 05:30:00 428.588750 
    2016/06/03 05:45:00 428.588750 
    2016/06/03 06:00:00 428.589000 
    2016/06/03 06:15:00 428.590750 
    2016/06/03 06:30:00 428.587250 
    2016/06/03 06:45:00 428.583170 
    2016/06/03 07:00:00 428.583170 
    2016/06/03 07:15:00 428.581420 
    2016/06/03 07:30:00 428.582000 
    2016/06/03 07:45:00 428.577920 
    2016/06/03 08:00:00 428.577920 
    2016/06/03 08:15:00 428.574420 
    2016/06/03 08:30:00 428.577920 
    2016/06/03 08:45:00 428.576750 
    2016/06/03 09:00:00 428.575000 
    2016/06/03 09:15:00 428.576170 
    2016/06/03 09:30:00 428.572920 
    2016/06/03 09:45:00 428.577920 
    2016/06/03 10:00:00 428.576420 
    2016/06/03 10:15:00 428.574670 
    2016/06/03 10:30:00 428.577920 
    2016/06/03 10:45:00 428.575590 
    2016/06/03 11:00:00 428.575840 
    2016/06/03 11:15:00 428.577590 
    2016/06/03 11:30:00 428.577590 
    2016/06/03 11:45:00 428.579090 
    2016/06/03 12:00:00 428.577590 
    2016/06/03 12:15:00 428.575250 
    2016/06/03 12:30:00 428.577590 
    2016/06/03 12:45:00 428.579090 
    2016/06/03 13:00:00 428.571750 
    2016/06/03 13:15:00 428.574090 
    2016/06/03 13:30:00 428.575590 
    2016/06/03 13:45:00 428.575840 
    2016/06/03 14:00:00 428.577590 
    2016/06/03 14:15:00 428.580840 
    2016/06/03 14:30:00 428.580840 
    2016/06/03 14:45:00 428.579090 
    2016/06/03 15:00:00 428.575250 
    2016/06/03 15:15:00 428.576750 
    2016/06/03 15:30:00 428.577000 
    2016/06/03 15:45:00 428.579920 
    2016/06/03 16:00:00 428.581670 
    2016/06/03 16:15:00 428.581670 
    2016/06/03 16:30:00 428.581090 
    2016/06/03 16:45:00 428.581090 
    2016/06/03 17:00:00 428.581090 
    2016/06/03 17:15:00 428.581670 
    2016/06/03 17:30:00 428.590170 
    2016/06/03 17:45:00 428.596250 
    2016/06/03 18:00:00 428.607090 
    2016/06/03 18:15:00 428.613420 
    2016/06/03 18:30:00 428.620750 
    2016/06/03 18:45:00 428.628090 
    2016/06/03 19:00:00 428.631590 
    2016/06/03 19:15:00 428.643500 
    2016/06/03 19:30:00 428.646750 
    2016/06/03 19:45:00 428.647000 
    2016/06/03 20:00:00 428.646750 
    2016/06/03 20:15:00 428.642920 
    2016/06/03 20:30:00 428.644420 
    2016/06/03 20:45:00 428.644670 
    2016/06/03 21:00:00 428.642920 
    2016/06/03 21:15:00 428.644420 
    2016/06/03 21:30:00 428.638840 
    2016/06/03 21:45:00 428.637090 
    2016/06/03 22:00:00 428.640670 
    2016/06/03 22:15:00 428.642090 
    2016/06/03 22:30:00 428.640340 
    2016/06/03 22:45:00 428.634750 
    2016/06/03 23:00:00 428.636250 
    2016/06/03 23:15:00 428.634500 
    2016/06/03 23:30:00 428.635670 
    2016/06/03 23:45:00 428.630420 
    2016/06/04 00:00:00 428.632420 
    2016/06/04 00:15:00 428.630670 
    2016/06/04 00:30:00 428.626090 
    2016/06/04 00:45:00 428.624250 
    2016/06/04 01:00:00 428.624000 
    2016/06/04 01:15:00 428.620500 
    2016/06/04 01:30:00 428.622500 
    2016/06/04 01:45:00 428.618170 
    2016/06/04 02:00:00 428.620170 
    2016/06/04 02:15:00 428.621920 
    2016/06/04 02:30:00 428.623420 
    2016/06/04 02:45:00 428.624250 
    2016/06/04 03:00:00 428.627750 
    2016/06/04 03:15:00 428.631000 
    2016/06/04 03:30:00 428.635090 
    2016/06/04 03:45:00 428.633090 
    2016/06/04 04:00:00 428.632750 
    2016/06/04 04:15:00 428.632750 
    2016/06/04 04:30:00 428.631000 
    2016/06/04 04:45:00 428.629500 
    2016/06/04 05:00:00 428.630420 
    2016/06/04 05:15:00 428.627170 
    2016/06/04 05:30:00 428.628670 
    2016/06/04 05:45:00 428.626920 
    2016/06/04 06:00:00 428.626920 
    2016/06/04 06:15:00 428.625170 
    2016/06/04 06:30:00 428.625420 
    2016/06/04 06:45:00 428.635090 
    2016/06/04 07:00:00 428.638590 
    2016/06/04 07:15:00 428.636840 
    2016/06/04 07:30:00 428.635090 
    2016/06/04 07:45:00 428.633590 
    2016/06/04 08:00:00 428.631000 
    2016/06/04 08:15:00 428.631000 
    2016/06/04 08:30:00 428.629500 
    2016/06/04 08:45:00 428.627750 
    2016/06/04 09:00:00 428.626000 
    2016/06/04 09:15:00 428.623420 
    2016/06/04 09:30:00 428.623420 
    2016/06/04 09:45:00 428.623420 
    2016/06/04 10:00:00 428.621920 
