Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 10:04:16,1.97637036E-33
5/31/2016 10:07:09,1.97629998E-33
5/31/2016 10:10:36,1.97637546E-33
5/31/2016 10:11:52,1.97634996E-33
5/31/2016 10:14:16,2.00008026E-33
5/31/2016 10:17:09,1.99997928E-33
5/31/2016 10:20:36,1.99984464E-33
5/31/2016 10:21:52,1.99980792E-33
5/31/2016 10:24:16,2.04728688E-33
5/31/2016 10:27:09,2.047191E-33
5/31/2016 10:30:36,2.0470584E-33
5/31/2016 10:31:52,2.04701454E-33
5/31/2016 10:34:16,2.02311186E-33
5/31/2016 10:37:09,2.02298742E-33
5/31/2016 10:40:36,2.02285278E-33
5/31/2016 10:41:52,2.02280688E-33
5/31/2016 10:44:16,1.99892766E-33
5/31/2016 10:47:09,1.99880526E-33
5/31/2016 10:50:36,1.99867266E-33
5/31/2016 10:51:52,1.9986288E-33
5/31/2016 10:54:16,2.02235706E-33
5/31/2016 10:57:09,2.0222571E-33
5/31/2016 11:00:36,2.02213164E-33
5/31/2016 11:01:52,2.02209594E-33
5/31/2016 11:04:16,1.9744548E-33
5/31/2016 11:07:09,1.97434974E-33
5/31/2016 11:10:36,1.97423142E-33
5/31/2016 11:11:52,1.97419572E-33
5/31/2016 11:14:16,1.95030426E-33
5/31/2016 11:17:09,1.95019614E-33
5/31/2016 11:20:36,1.95008088E-33
5/31/2016 11:21:52,1.9500411E-33
5/31/2016 11:24:16,2.02126872E-33
5/31/2016 11:27:09,2.02115448E-33
5/31/2016 11:30:36,2.0210484E-33
5/31/2016 11:31:52,2.02100862E-33
5/31/2016 11:34:16,1.99715388E-33
5/31/2016 11:37:09,1.99704066E-33
5/31/2016 11:40:36,1.99691826E-33
5/31/2016 11:41:52,1.9968795E-33
5/31/2016 11:44:16,1.97306964E-33
5/31/2016 11:47:09,1.97296356E-33
5/31/2016 11:50:36,1.9728483E-33
5/31/2016 11:51:52,1.97281566E-33
5/31/2016 11:54:16,2.04399432E-33
5/31/2016 11:57:09,2.04388518E-33
5/31/2016 12:00:36,2.04377196E-33
5/31/2016 12:01:52,2.0437281E-33
5/31/2016 12:04:16,2.06735436E-33
5/31/2016 12:07:09,2.06723706E-33
5/31/2016 12:10:36,2.0671014E-33
5/31/2016 12:11:52,2.0670504E-33
5/31/2016 12:14:16,2.04318546E-33
5/31/2016 12:17:09,2.04304878E-33
5/31/2016 12:20:36,2.04290394E-33
5/31/2016 12:21:52,2.04285192E-33
5/31/2016 12:24:16,1.99529136E-33
5/31/2016 12:27:09,1.99516794E-33
5/31/2016 12:30:36,1.9950333E-33
5/31/2016 12:31:52,1.9949925E-33
5/31/2016 12:34:16,2.01862386E-33
5/31/2016 12:37:09,2.01851676E-33
5/31/2016 12:40:36,2.01840558E-33
5/31/2016 12:41:52,2.01836172E-33
5/31/2016 12:44:16,2.06572032E-33
5/31/2016 12:47:09,2.06561118E-33
5/31/2016 12:50:36,2.06547654E-33
5/31/2016 12:51:52,2.06542656E-33
5/31/2016 12:54:16,2.06531538E-33
5/31/2016 12:57:09,2.06518584E-33
5/31/2016 13:00:36,2.065041E-33
5/31/2016 13:01:52,2.06499102E-33
5/31/2016 13:04:16,2.01741312E-33
5/31/2016 13:07:09,2.01727848E-33
5/31/2016 13:10:36,2.01713466E-33
5/31/2016 13:11:52,2.01708162E-33
5/31/2016 13:14:16,1.99326462E-33
5/31/2016 13:17:09,1.99313508E-33
5/31/2016 13:20:36,1.99299738E-33
5/31/2016 13:21:52,1.99295046E-33
5/31/2016 13:24:16,2.01654306E-33
5/31/2016 13:27:09,2.01642882E-33
5/31/2016 13:30:36,2.01626766E-33
5/31/2016 13:31:52,2.01621462E-33
5/31/2016 13:34:16,2.03980824E-33
5/31/2016 13:37:09,2.03969502E-33
5/31/2016 13:40:36,2.039541E-33
