----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/02 01:15:00 428.185750 
    2016/06/02 01:30:00 428.185500 
    2016/06/02 01:45:00 428.183170 
    2016/06/02 02:00:00 428.185250 
    2016/06/02 02:15:00 428.182590 
    2016/06/02 02:30:00 428.185170 
    2016/06/02 02:45:00 428.185170 
    2016/06/02 03:00:00 428.182590 
    2016/06/02 03:15:00 428.183420 
    2016/06/02 03:30:00 428.178170 
    2016/06/02 03:45:00 428.179920 
    2016/06/02 04:00:00 428.178170 
    2016/06/02 04:15:00 428.177590 
    2016/06/02 04:30:00 428.178750 
    2016/06/02 04:45:00 428.180840 
    2016/06/02 05:00:00 428.175590 
    2016/06/02 05:15:00 428.177340 
    2016/06/02 05:30:00 428.176420 
    2016/06/02 05:45:00 428.172920 
    2016/06/02 06:00:00 428.178500 
    2016/06/02 06:15:00 428.175000 
    2016/06/02 06:30:00 428.173250 
    2016/06/02 06:45:00 428.172340 
    2016/06/02 07:00:00 428.176170 
    2016/06/02 07:15:00 428.168840 
    2016/06/02 07:30:00 428.174090 
    2016/06/02 07:45:00 428.171500 
    2016/06/02 08:00:00 428.169420 
    2016/06/02 08:15:00 428.169750 
    2016/06/02 08:30:00 428.168590 
    2016/06/02 08:45:00 428.168000 
    2016/06/02 09:00:00 428.165920 
    2016/06/02 09:15:00 428.165920 
    2016/06/02 09:30:00 428.158670 
    2016/06/02 09:45:00 428.158670 
    2016/06/02 10:00:00 428.162170 
    2016/06/02 10:15:00 428.160420 
    2016/06/02 10:30:00 428.158670 
    2016/06/02 10:45:00 428.159500 
    2016/06/02 11:00:00 428.158670 
    2016/06/02 11:15:00 428.154000 
    2016/06/02 11:30:00 428.155170 
    2016/06/02 11:45:00 428.157500 
    2016/06/02 12:00:00 428.155170 
    2016/06/02 12:15:00 428.159250 
    2016/06/02 12:30:00 428.155170 
    2016/06/02 12:45:00 428.156590 
    2016/06/02 13:00:00 428.158090 
    2016/06/02 13:15:00 428.155750 
    2016/06/02 13:30:00 428.155170 
    2016/06/02 13:45:00 428.155750 
    2016/06/02 14:00:00 428.150170 
    2016/06/02 14:15:00 428.153420 
    2016/06/02 14:30:00 428.149920 
    2016/06/02 14:45:00 428.149340 
    2016/06/02 15:00:00 428.150170 
    2016/06/02 15:15:00 428.149590 
    2016/06/02 15:30:00 428.150500 
    2016/06/02 15:45:00 428.153420 
    2016/06/02 16:00:00 428.151090 
    2016/06/02 16:15:00 428.147840 
    2016/06/02 16:30:00 428.147840 
    2016/06/02 16:45:00 428.149920 
    2016/06/02 17:00:00 428.146420 
    2016/06/02 17:15:00 428.147250 
    2016/06/02 17:30:00 428.149000 
    2016/06/02 17:45:00 428.146670 
    2016/06/02 18:00:00 428.148170 
    2016/06/02 18:15:00 428.149920 
    2016/06/02 18:30:00 428.148420 
    2016/06/02 18:45:00 428.150500 
    2016/06/02 19:00:00 428.151670 
    2016/06/02 19:15:00 428.151090 
    2016/06/02 19:30:00 428.148750 
    2016/06/02 19:45:00 428.148750 
    2016/06/02 20:00:00 428.149920 
    2016/06/02 20:15:00 428.151920 
    2016/06/02 20:30:00 428.149340 
    2016/06/02 20:45:00 428.153420 
    2016/06/02 21:00:00 428.153420 
    2016/06/02 21:15:00 428.153420 
    2016/06/02 21:30:00 428.153750 
    2016/06/02 21:45:00 428.152840 
    2016/06/02 22:00:00 428.152250 
    2016/06/02 22:15:00 428.151420 
    2016/06/02 22:30:00 428.154000 
    2016/06/02 22:45:00 428.149340 
    2016/06/02 23:00:00 428.153420 
    2016/06/02 23:15:00 428.150500 
    2016/06/02 23:30:00 428.148170 
    2016/06/02 23:45:00 428.150250 
    2016/06/03 00:00:00 428.149340 
    2016/06/03 00:15:00 428.147920 
    2016/06/03 00:30:00 428.146170 
    2016/06/03 00:45:00 428.149670 
    2016/06/03 01:00:00 428.146420 
    2016/06/03 01:15:00 428.144670 
    2016/06/03 01:30:00 428.147000 
    2016/06/03 01:45:00 428.141750 
    2016/06/03 02:00:00 428.145000 
    2016/06/03 02:15:00 428.143840 
    2016/06/03 02:30:00 428.143500 
    2016/06/03 02:45:00 428.143500 
    2016/06/03 03:00:00 428.145250 
    2016/06/03 03:15:00 428.144090 
    2016/06/03 03:30:00 428.142340 
    2016/06/03 03:45:00 428.144670 
    2016/06/03 04:00:00 428.139420 
    2016/06/03 04:15:00 428.142920 
    2016/06/03 04:30:00 428.135090 
    2016/06/03 04:45:00 428.141750 
    2016/06/03 05:00:00 428.139750 
    2016/06/03 05:15:00 428.136500 
    2016/06/03 05:30:00 428.138590 
    2016/06/03 05:45:00 428.137420 
    2016/06/03 06:00:00 428.141170 
    2016/06/03 06:15:00 428.138840 
    2016/06/03 06:30:00 428.134170 
    2016/06/03 06:45:00 428.132420 
    2016/06/03 07:00:00 428.132420 
    2016/06/03 07:15:00 428.130670 
    2016/06/03 07:30:00 428.128920 
    2016/06/03 07:45:00 428.126590 
    2016/06/03 08:00:00 428.126590 
    2016/06/03 08:15:00 428.123090 
    2016/06/03 08:30:00 428.126590 
    2016/06/03 08:45:00 428.124250 
    2016/06/03 09:00:00 428.126000 
    2016/06/03 09:15:00 428.127170 
    2016/06/03 09:30:00 428.123340 
    2016/06/03 09:45:00 428.128340 
    2016/06/03 10:00:00 428.124500 
    2016/06/03 10:15:00 428.126840 
    2016/06/03 10:30:00 428.127750 
    2016/06/03 10:45:00 428.129500 
    2016/06/03 11:00:00 428.126840 
    2016/06/03 11:15:00 428.131500 
    2016/06/03 11:30:00 428.128590 
    2016/06/03 11:45:00 428.134170 
    2016/06/03 12:00:00 428.130340 
    2016/06/03 12:15:00 428.130340 
    2016/06/03 12:30:00 428.128590 
    2016/06/03 12:45:00 428.130090 
    2016/06/03 13:00:00 428.130920 
    2016/06/03 13:15:00 428.131500 
    2016/06/03 13:30:00 428.133590 
    2016/06/03 13:45:00 428.130340 
    2016/06/03 14:00:00 428.132090 
    2016/06/03 14:15:00 428.133000 
    2016/06/03 14:30:00 428.133590 
    2016/06/03 14:45:00 428.134750 
    2016/06/03 15:00:00 428.132670 
    2016/06/03 15:15:00 428.133000 
    2016/06/03 15:30:00 428.133840 
    2016/06/03 15:45:00 428.136750 
    2016/06/03 16:00:00 428.137920 
    2016/06/03 16:15:00 428.134420 
    2016/06/03 16:30:00 428.133250 
    2016/06/03 16:45:00 428.131500 
    2016/06/03 17:00:00 428.136170 
    2016/06/03 17:15:00 428.134420 
    2016/06/03 17:30:00 428.141170 
    2016/06/03 17:45:00 428.139670 
    2016/06/03 18:00:00 428.143500 
    2016/06/03 18:15:00 428.144000 
    2016/06/03 18:30:00 428.145500 
    2016/06/03 18:45:00 428.146420 
    2016/06/03 19:00:00 428.150500 
    2016/06/03 19:15:00 428.153090 
    2016/06/03 19:30:00 428.149920 
    2016/06/03 19:45:00 428.152500 
    2016/06/03 20:00:00 428.151670 
    2016/06/03 20:15:00 428.158340 
    2016/06/03 20:30:00 428.158090 
    2016/06/03 20:45:00 428.157750 
    2016/06/03 21:00:00 428.161840 
    2016/06/03 21:15:00 428.165090 
    2016/06/03 21:30:00 428.163000 
    2016/06/03 21:45:00 428.161250 
    2016/06/03 22:00:00 428.164250 
    2016/06/03 22:15:00 428.166250 
    2016/06/03 22:30:00 428.170920 
    2016/06/03 22:45:00 428.164750 
    2016/06/03 23:00:00 428.170340 
    2016/06/03 23:15:00 428.168000 
    2016/06/03 23:30:00 428.167420 
    2016/06/03 23:45:00 428.170920 
    2016/06/04 00:00:00 428.171750 
    2016/06/04 00:15:00 428.168250 
    2016/06/04 00:30:00 428.170670 
    2016/06/04 00:45:00 428.173500 
    2016/06/04 01:00:00 428.172670 
    2016/06/04 01:15:00 428.172090 
    2016/06/04 01:30:00 428.170590 
    2016/06/04 01:45:00 428.172670 
    2016/06/04 02:00:00 428.171750 
    2016/06/04 02:15:00 428.177590 
    2016/06/04 02:30:00 428.175590 
    2016/06/04 02:45:00 428.174090 
    2016/06/04 03:00:00 428.176420 
    2016/06/04 03:15:00 428.180250 
    2016/06/04 03:30:00 428.182000 
    2016/06/04 03:45:00 428.177090 
    2016/06/04 04:00:00 428.182000 
    2016/06/04 04:15:00 428.182590 
    2016/06/04 04:30:00 428.181420 
    2016/06/04 04:45:00 428.181090 
    2016/06/04 05:00:00 428.182590 
    2016/06/04 05:15:00 428.180500 
    2016/06/04 05:30:00 428.183170 
    2016/06/04 05:45:00 428.182590 
    2016/06/04 06:00:00 428.183170 
