----------------------------------------------
PZ-In TotHead [m]: 
    2016/05/31 09:00:00 428.534300 
    2016/05/31 09:10:00 428.534050 
    2016/05/31 09:20:00 428.532217 
    2016/05/31 09:30:00 428.531050 
    2016/05/31 09:40:00 428.528217 
    2016/05/31 09:50:00 428.534550 
    2016/05/31 10:00:00 428.534550 
    2016/05/31 10:10:00 428.532217 
    2016/05/31 10:20:00 428.531133 
    2016/05/31 10:30:00 428.529550 
    2016/05/31 10:40:00 428.528217 
    2016/05/31 10:50:00 428.526217 
    2016/05/31 11:00:00 428.529550 
    2016/05/31 11:10:00 428.531633 
    2016/05/31 11:20:00 428.530633 
    2016/05/31 11:30:00 428.528300 
    2016/05/31 11:40:00 428.529467 
    2016/05/31 11:50:00 428.530633 
    2016/05/31 12:00:00 428.531800 
    2016/05/31 12:10:00 428.532800 
    2016/05/31 12:20:00 428.534550 
    2016/05/31 12:30:00 428.533050 
    2016/05/31 12:40:00 428.536717 
    2016/05/31 12:50:00 428.540133 
    2016/05/31 13:00:00 428.541300 
    2016/05/31 13:10:00 428.541300 
    2016/05/31 13:20:00 428.541300 
    2016/05/31 13:30:00 428.541300 
    2016/05/31 13:40:00 428.544217 
    2016/05/31 13:50:00 428.544217 
    2016/05/31 14:00:00 428.543300 
    2016/05/31 14:10:00 428.545633 
    2016/05/31 14:20:00 428.546217 
    2016/05/31 14:30:00 428.548550 
    2016/05/31 14:40:00 428.550300 
    2016/05/31 14:50:00 428.550300 
    2016/05/31 15:00:00 428.552050 
    2016/05/31 15:10:00 428.551467 
    2016/05/31 15:20:00 428.552633 
    2016/05/31 15:30:00 428.552050 
    2016/05/31 15:40:00 428.553550 
    2016/05/31 15:50:00 428.552383 
    2016/05/31 16:00:00 428.553550 
    2016/05/31 16:10:00 428.550883 
    2016/05/31 16:20:00 428.552050 
    2016/05/31 16:30:00 428.550300 
    2016/05/31 16:40:00 428.552050 
    2016/05/31 16:50:00 428.551383 
    2016/05/31 17:00:00 428.549050 
    2016/05/31 17:10:00 428.550217 
    2016/05/31 17:20:00 428.550717 
    2016/05/31 17:30:00 428.548800 
    2016/05/31 17:40:00 428.549550 
    2016/05/31 17:50:00 428.547967 
    2016/05/31 18:00:00 428.547050 
    2016/05/31 18:10:00 428.547050 
    2016/05/31 18:20:00 428.545883 
    2016/05/31 18:30:00 428.547050 
    2016/05/31 18:40:00 428.548050 
    2016/05/31 18:50:00 428.548633 
    2016/05/31 19:00:00 428.545300 
    2016/05/31 19:10:00 428.547050 
    2016/05/31 19:20:00 428.545717 
    2016/05/31 19:30:00 428.546550 
    2016/05/31 19:40:00 428.546300 
    2016/05/31 19:50:00 428.545717 
    2016/05/31 20:00:00 428.546550 
    2016/05/31 20:10:00 428.546550 
    2016/05/31 20:20:00 428.547883 
    2016/05/31 20:30:00 428.545300 
    2016/05/31 20:40:00 428.545883 
    2016/05/31 20:50:00 428.547550 
    2016/05/31 21:00:00 428.548550 
    2016/05/31 21:10:00 428.547550 
    2016/05/31 21:20:00 428.546383 
    2016/05/31 21:30:00 428.548550 
    2016/05/31 21:40:00 428.549717 
    2016/05/31 21:50:00 428.549717 
    2016/05/31 22:00:00 428.548550 
    2016/05/31 22:10:00 428.548717 
    2016/05/31 22:20:00 428.548383 
    2016/05/31 22:30:00 428.550550 
    2016/05/31 22:40:00 428.550550 
    2016/05/31 22:50:00 428.549383 
    2016/05/31 23:00:00 428.550550 
    2016/05/31 23:10:00 428.549550 
    2016/05/31 23:20:00 428.548383 
    2016/05/31 23:30:00 428.550550 
    2016/05/31 23:40:00 428.549967 
    2016/05/31 23:50:00 428.548800 
    2016/06/01 00:00:00 428.548800 
    2016/06/01 00:10:00 428.548967 
    2016/06/01 00:20:00 428.549550 
    2016/06/01 00:30:00 428.548800 
    2016/06/01 00:40:00 428.551133 
    2016/06/01 00:50:00 428.547133 
    2016/06/01 01:00:00 428.547300 
    2016/06/01 01:10:00 428.550633 
    2016/06/01 01:20:00 428.548217 
    2016/06/01 01:30:00 428.547050 
    2016/06/01 01:40:00 428.545467 
    2016/06/01 01:50:00 428.546050 
    2016/06/01 02:00:00 428.548800 
    2016/06/01 02:10:00 428.548217 
    2016/06/01 02:20:00 428.547050 
    2016/06/01 02:30:00 428.545300 
    2016/06/01 02:40:00 428.546467 
    2016/06/01 02:50:00 428.546550 
    2016/06/01 03:00:00 428.547300 
    2016/06/01 03:10:00 428.546133 
    2016/06/01 03:20:00 428.544967 
    2016/06/01 03:30:00 428.547300 
    2016/06/01 03:40:00 428.545550 
    2016/06/01 03:50:00 428.546800 
    2016/06/01 04:00:00 428.549300 
    2016/06/01 04:10:00 428.547967 
    2016/06/01 04:20:00 428.549133 
    2016/06/01 04:30:00 428.545800 
    2016/06/01 04:40:00 428.545050 
