----------------------------------------------
PZ-CC TotHead [m]: 
    2016/05/31 09:00:00 428.526500 
    2016/05/31 09:15:00 428.525000 
    2016/05/31 09:30:00 429.442250 
    2016/05/31 09:45:00 429.443500 
    2016/05/31 10:00:00 429.443500 
    2016/05/31 10:15:00 429.443500 
    2016/05/31 10:30:00 429.441750 
    2016/05/31 10:45:00 429.437000 
    2016/05/31 11:00:00 429.440500 
    2016/05/31 11:15:00 429.439000 
    2016/05/31 11:30:00 429.439000 
    2016/05/31 11:45:00 429.437000 
    2016/05/31 12:00:00 429.440750 
    2016/05/31 12:15:00 429.442250 
    2016/05/31 12:30:00 429.442500 
    2016/05/31 12:45:00 429.445750 
    2016/05/31 13:00:00 429.449500 
    2016/05/31 13:15:00 429.449250 
    2016/05/31 13:30:00 429.447500 
    2016/05/31 13:45:00 429.451000 
    2016/05/31 14:00:00 429.449250 
    2016/05/31 14:15:00 429.454750 
    2016/05/31 14:30:00 429.453000 
    2016/05/31 14:45:00 429.455000 
    2016/05/31 15:00:00 429.455000 
    2016/05/31 15:15:00 429.454750 
    2016/05/31 15:30:00 429.456500 
    2016/05/31 15:45:00 429.454750 
    2016/05/31 16:00:00 429.456500 
    2016/05/31 16:15:00 429.454750 
    2016/05/31 16:30:00 429.454750 
    2016/05/31 16:45:00 429.454750 
    2016/05/31 17:00:00 429.454500 
    2016/05/31 17:15:00 429.456250 
    2016/05/31 17:30:00 429.456000 
    2016/05/31 17:45:00 429.454500 
    2016/05/31 18:00:00 429.453000 
    2016/05/31 18:15:00 429.453000 
    2016/05/31 18:30:00 429.453000 
    2016/05/31 18:45:00 429.454500 
    2016/05/31 19:00:00 429.453000 
    2016/05/31 19:15:00 429.453000 
    2016/05/31 19:30:00 429.455000 
    2016/05/31 19:45:00 429.452000 
    2016/05/31 20:00:00 429.455250 
    2016/05/31 20:15:00 429.455250 
    2016/05/31 20:30:00 429.452000 
    2016/05/31 20:45:00 429.455500 
    2016/05/31 21:00:00 429.457000 
    2016/05/31 21:15:00 429.455500 
    2016/05/31 21:30:00 429.455000 
    2016/05/31 21:45:00 429.456750 
    2016/05/31 22:00:00 429.455000 
    2016/05/31 22:15:00 429.453500 
    2016/05/31 22:30:00 429.458500 
    2016/05/31 22:45:00 429.456750 
    2016/05/31 23:00:00 429.458500 
    2016/05/31 23:15:00 429.457000 
    2016/05/31 23:30:00 429.460250 
    2016/05/31 23:45:00 429.458250 
    2016/06/01 00:00:00 429.457250 
    2016/06/01 00:15:00 429.457500 
    2016/06/01 00:30:00 429.457250 
    2016/06/01 00:45:00 429.457000 
    2016/06/01 01:00:00 429.453500 
    2016/06/01 01:15:00 429.456500 
    2016/06/01 01:30:00 429.453000 
    2016/06/01 01:45:00 429.451500 
    2016/06/01 02:00:00 429.454750 
    2016/06/01 02:15:00 429.454750 
    2016/06/01 02:30:00 429.452750 
    2016/06/01 02:45:00 429.454500 
    2016/06/01 03:00:00 429.454500 
    2016/06/01 03:15:00 429.453750 
    2016/06/01 03:30:00 429.455250 
    2016/06/01 03:45:00 429.451750 
    2016/06/01 04:00:00 429.455500 
    2016/06/01 04:15:00 429.455250 
    2016/06/01 04:30:00 429.455500 
    2016/06/01 04:45:00 429.451500 
    2016/06/01 05:00:00 429.451500 
    2016/06/01 05:15:00 429.453500 
    2016/06/01 05:30:00 429.455250 
    2016/06/01 05:45:00 429.453750 
    2016/06/01 06:00:00 429.451000 
    2016/06/01 06:15:00 429.452500 
    2016/06/01 06:30:00 429.452500 
    2016/06/01 06:45:00 429.451000 
    2016/06/01 07:00:00 429.449000 
    2016/06/01 07:15:00 429.451500 
    2016/06/01 07:30:00 429.448000 
    2016/06/01 07:45:00 429.449750 
    2016/06/01 08:00:00 429.448000 
    2016/06/01 08:15:00 429.446500 
    2016/06/01 08:30:00 429.450000 
    2016/06/01 08:45:00 429.446250 
    2016/06/01 09:00:00 429.448000 
    2016/06/01 09:15:00 429.447000 
    2016/06/01 09:30:00 429.447000 
    2016/06/01 09:45:00 429.448250 
    2016/06/01 10:00:00 429.446250 
    2016/06/01 10:15:00 429.446000 
    2016/06/01 10:30:00 429.446000 
    2016/06/01 10:45:00 429.442500 
    2016/06/01 11:00:00 429.444000 
    2016/06/01 11:15:00 429.442500 
    2016/06/01 11:30:00 429.444250 
    2016/06/01 11:45:00 429.444500 
    2016/06/01 12:00:00 429.444500 
    2016/06/01 12:15:00 429.441500 
    2016/06/01 12:30:00 429.443250 
    2016/06/01 12:45:00 429.444250 
    2016/06/01 13:00:00 429.447500 
    2016/06/01 13:15:00 429.442250 
    2016/06/01 13:30:00 429.447750 
    2016/06/01 13:45:00 429.448000 
    2016/06/01 14:00:00 429.453250 
    2016/06/01 14:15:00 429.455500 
    2016/06/01 14:30:00 429.457250 
    2016/06/01 14:45:00 429.459250 
    2016/06/01 15:00:00 429.463000 
    2016/06/01 15:15:00 429.464250 
    2016/06/01 15:30:00 429.467750 
    2016/06/01 15:45:00 429.466000 
    2016/06/01 16:00:00 429.467750 
    2016/06/01 16:15:00 429.469500 
    2016/06/01 16:30:00 429.474750 
    2016/06/01 16:45:00 429.477750 
    2016/06/01 17:00:00 429.485250 
    2016/06/01 17:15:00 429.486750 
    2016/06/01 17:30:00 429.487250 
    2016/06/01 17:45:00 429.492500 
    2016/06/01 18:00:00 429.491250 
    2016/06/01 18:15:00 429.493000 
    2016/06/01 18:30:00 429.497750 
    2016/06/01 18:45:00 429.497750 
    2016/06/01 19:00:00 429.499750 
    2016/06/01 19:15:00 429.501750 
    2016/06/01 19:30:00 429.501750 
    2016/06/01 19:45:00 429.505750 
    2016/06/01 20:00:00 429.505750 
    2016/06/01 20:15:00 429.507500 
    2016/06/01 20:30:00 429.509250 
    2016/06/01 20:45:00 429.507750 
    2016/06/01 21:00:00 429.508500 
    2016/06/01 21:15:00 429.506750 
    2016/06/01 21:30:00 429.506750 
    2016/06/01 21:45:00 429.508250 
    2016/06/01 22:00:00 429.511750 
    2016/06/01 22:15:00 429.512000 
    2016/06/01 22:30:00 429.509250 
    2016/06/01 22:45:00 429.507750 
    2016/06/01 23:00:00 429.506000 
    2016/06/01 23:15:00 429.506000 
    2016/06/01 23:30:00 429.505750 
    2016/06/01 23:45:00 429.506000 
    2016/06/02 00:00:00 429.504250 
    2016/06/02 00:15:00 429.506000 
    2016/06/02 00:30:00 429.504250 
    2016/06/02 00:45:00 429.507500 
    2016/06/02 01:00:00 429.504000 
    2016/06/02 01:15:00 429.502500 
    2016/06/02 01:30:00 429.502250 
    2016/06/02 01:45:00 429.501500 
    2016/06/02 02:00:00 429.501250 
    2016/06/02 02:15:00 429.500750 
    2016/06/02 02:30:00 429.501000 
    2016/06/02 02:45:00 429.500250 
    2016/06/02 03:00:00 429.500000 
    2016/06/02 03:15:00 429.500250 
    2016/06/02 03:30:00 429.495750 
    2016/06/02 03:45:00 429.497500 
    2016/06/02 04:00:00 429.495750 
    2016/06/02 04:15:00 429.496000 
    2016/06/02 04:30:00 429.496000 
    2016/06/02 04:45:00 429.497500 
    2016/06/02 05:00:00 429.496000 
    2016/06/02 05:15:00 429.494250 
    2016/06/02 05:30:00 429.492750 
    2016/06/02 05:45:00 429.491000 
    2016/06/02 06:00:00 429.494250 
    2016/06/02 06:15:00 429.492750 
    2016/06/02 06:30:00 429.489000 
    2016/06/02 06:45:00 429.487750 
    2016/06/02 07:00:00 429.492750 
    2016/06/02 07:15:00 429.486000 
    2016/06/02 07:30:00 429.488000 
    2016/06/02 07:45:00 429.487750 
    2016/06/02 08:00:00 429.486250 
    2016/06/02 08:15:00 429.484500 
    2016/06/02 08:30:00 429.486250 
    2016/06/02 08:45:00 429.486500 
    2016/06/02 09:00:00 429.483250 
    2016/06/02 09:15:00 429.483250 
    2016/06/02 09:30:00 429.479750 
    2016/06/02 09:45:00 429.478000 
    2016/06/02 10:00:00 429.477750 
    2016/06/02 10:15:00 429.474250 
    2016/06/02 10:30:00 429.474250 
    2016/06/02 10:45:00 429.474500 
