----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/06/02 03:00:00 429.038170 
    2016/06/02 03:15:00 429.038420 
    2016/06/02 03:30:00 429.034920 
    2016/06/02 03:45:00 429.039000 
    2016/06/02 04:00:00 429.039000 
    2016/06/02 04:15:00 429.037250 
    2016/06/02 04:30:00 429.039000 
    2016/06/02 04:45:00 429.037000 
    2016/06/02 05:00:00 429.037000 
    2016/06/02 05:15:00 429.037590 
    2016/06/02 05:30:00 429.036090 
    2016/06/02 05:45:00 429.036090 
    2016/06/02 06:00:00 429.037590 
    2016/06/02 06:15:00 429.034090 
    2016/06/02 06:30:00 429.034090 
    2016/06/02 06:45:00 429.032590 
    2016/06/02 07:00:00 429.035840 
    2016/06/02 07:15:00 429.033170 
    2016/06/02 07:30:00 429.033170 
    2016/06/02 07:45:00 429.032920 
    2016/06/02 08:00:00 429.031420 
    2016/06/02 08:15:00 429.031170 
    2016/06/02 08:30:00 429.032920 
    2016/06/02 08:45:00 429.029420 
    2016/06/02 09:00:00 429.027920 
    2016/06/02 09:15:00 429.026170 
    2016/06/02 09:30:00 429.022420 
    2016/06/02 09:45:00 429.022420 
    2016/06/02 10:00:00 429.024170 
    2016/06/02 10:15:00 429.020670 
    2016/06/02 10:30:00 429.018920 
    2016/06/02 10:45:00 429.020920 
    2016/06/02 11:00:00 429.020670 
    2016/06/02 11:15:00 429.017170 
    2016/06/02 11:30:00 429.017170 
    2016/06/02 11:45:00 429.021250 
    2016/06/02 12:00:00 429.017170 
    2016/06/02 12:15:00 429.018920 
    2016/06/02 12:30:00 429.017170 
    2016/06/02 12:45:00 429.016250 
    2016/06/02 13:00:00 429.019500 
    2016/06/02 13:15:00 429.017750 
    2016/06/02 13:30:00 429.017170 
    2016/06/02 13:45:00 429.015420 
    2016/06/02 14:00:00 429.012170 
    2016/06/02 14:15:00 429.015420 
    2016/06/02 14:30:00 429.013670 
    2016/06/02 14:45:00 429.011920 
    2016/06/02 15:00:00 429.013920 
    2016/06/02 15:15:00 429.013920 
    2016/06/02 15:30:00 429.013670 
    2016/06/02 15:45:00 429.013670 
    2016/06/02 16:00:00 429.010170 
    2016/06/02 16:15:00 429.010420 
    2016/06/02 16:30:00 429.012170 
    2016/06/02 16:45:00 429.011920 
    2016/06/02 17:00:00 429.010170 
    2016/06/02 17:15:00 429.012170 
    2016/06/02 17:30:00 429.010420 
    2016/06/02 17:45:00 429.010420 
    2016/06/02 18:00:00 429.011920 
    2016/06/02 18:15:00 429.013670 
    2016/06/02 18:30:00 429.013920 
    2016/06/02 18:45:00 429.015420 
    2016/06/02 19:00:00 429.013670 
