----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/03 06:30:00 428.459167 
    2016/06/03 06:45:00 428.456000 
    2016/06/03 07:00:00 428.456000 
    2016/06/03 07:15:00 428.458500 
    2016/06/03 07:30:00 428.459500 
    2016/06/03 07:45:00 428.458667 
    2016/06/03 08:00:00 428.456750 
    2016/06/03 08:15:00 428.457750 
    2016/06/03 08:30:00 428.459917 
    2016/06/03 08:45:00 428.462750 
    2016/06/03 09:00:00 428.462750 
    2016/06/03 09:15:00 428.459833 
    2016/06/03 09:30:00 428.455500 
    2016/06/03 09:45:00 428.455500 
    2016/06/03 10:00:00 428.454917 
    2016/06/03 10:15:00 428.451417 
    2016/06/03 10:30:00 428.453750 
    2016/06/03 10:45:00 428.456250 
    2016/06/03 11:00:00 428.455417 
    2016/06/03 11:15:00 428.455250 
    2016/06/03 11:30:00 428.454667 
    2016/06/03 11:45:00 428.453500 
    2016/06/03 12:00:00 428.453500 
    2016/06/03 12:15:00 428.453500 
    2016/06/03 12:30:00 428.453417 
    2016/06/03 12:45:00 428.453250 
    2016/06/03 13:00:00 428.452833 
    2016/06/03 13:15:00 428.453917 
    2016/06/03 13:30:00 428.454750 
    2016/06/03 13:45:00 428.458083 
    2016/06/03 14:00:00 428.454167 
    2016/06/03 14:15:00 428.455500 
    2016/06/03 14:30:00 428.451167 
    2016/06/03 14:45:00 428.448250 
    2016/06/03 15:00:00 428.446250 
    2016/06/03 15:15:00 428.443333 
    2016/06/03 15:30:00 428.443167 
    2016/06/03 15:45:00 428.438250 
    2016/06/03 16:00:00 428.436667 
    2016/06/03 16:15:00 428.430917 
    2016/06/03 16:30:00 428.426000 
    2016/06/03 16:45:00 428.426417 
    2016/06/03 17:00:00 428.428667 
    2016/06/03 17:15:00 428.429500 
    2016/06/03 17:30:00 428.428500 
    2016/06/03 17:45:00 428.429167 
    2016/06/03 18:00:00 428.434250 
    2016/06/03 18:15:00 428.434250 
    2016/06/03 18:30:00 428.434250 
    2016/06/03 18:45:00 428.438000 
    2016/06/03 19:00:00 428.442917 
    2016/06/03 19:15:00 428.448333 
    2016/06/03 19:30:00 428.452250 
