----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/05/31 09:00:00 428.465750 
    2016/05/31 09:15:00 428.468000 
    2016/05/31 09:30:00 428.467420 
    2016/05/31 09:45:00 428.571580 
    2016/05/31 10:00:00 428.571580 
    2016/05/31 10:15:00 428.571000 
    2016/05/31 10:30:00 428.566580 
    2016/05/31 10:45:00 428.564580 
    2016/05/31 11:00:00 428.566670 
    2016/05/31 11:15:00 428.568920 
    2016/05/31 11:30:00 428.564250 
    2016/05/31 11:45:00 428.566000 
    2016/05/31 12:00:00 428.565420 
    2016/05/31 12:15:00 428.566920 
    2016/05/31 12:30:00 428.570080 
    2016/05/31 12:45:00 428.570420 
    2016/05/31 13:00:00 428.573920 
    2016/05/31 13:15:00 428.576830 
    2016/05/31 13:30:00 428.572750 
    2016/05/31 13:45:00 428.576250 
    2016/05/31 14:00:00 428.575080 
    2016/05/31 14:15:00 428.580920 
    2016/05/31 14:30:00 428.578580 
    2016/05/31 14:45:00 428.578580 
    2016/05/31 15:00:00 428.576830 
    2016/05/31 15:15:00 428.578580 
    2016/05/31 15:30:00 428.578000 
    2016/05/31 15:45:00 428.577420 
    2016/05/31 16:00:00 428.582080 
    2016/05/31 16:15:00 428.580330 
    2016/05/31 16:30:00 428.577420 
    2016/05/31 16:45:00 428.579170 
    2016/05/31 17:00:00 428.576830 
    2016/05/31 17:15:00 428.579170 
    2016/05/31 17:30:00 428.581250 
    2016/05/31 17:45:00 428.579750 
    2016/05/31 18:00:00 428.575920 
    2016/05/31 18:15:00 428.578830 
    2016/05/31 18:30:00 428.577670 
    2016/05/31 18:45:00 428.579750 
    2016/05/31 19:00:00 428.577670 
    2016/05/31 19:15:00 428.577080 
    2016/05/31 19:30:00 428.581250 
    2016/05/31 19:45:00 428.577670 
    2016/05/31 20:00:00 428.578920 
    2016/05/31 20:15:00 428.579500 
    2016/05/31 20:30:00 428.575920 
    2016/05/31 20:45:00 428.581750 
    2016/05/31 21:00:00 428.580330 
    2016/05/31 21:15:00 428.579420 
    2016/05/31 21:30:00 428.579750 
    2016/05/31 21:45:00 428.582080 
    2016/05/31 22:00:00 428.578580 
    2016/05/31 22:15:00 428.580580 
    2016/05/31 22:30:00 428.583250 
    2016/05/31 22:45:00 428.578580 
    2016/05/31 23:00:00 428.585580 
    2016/05/31 23:15:00 428.578250 
    2016/05/31 23:30:00 428.583250 
    2016/05/31 23:45:00 428.583830 
    2016/06/01 00:00:00 428.583830 
    2016/06/01 00:15:00 428.582920 
    2016/06/01 00:30:00 428.579750 
    2016/06/01 00:45:00 428.583250 
    2016/06/01 01:00:00 428.581170 
    2016/06/01 01:15:00 428.583250 
    2016/06/01 01:30:00 428.579750 
    2016/06/01 01:45:00 428.579420 
    2016/06/01 02:00:00 428.578580 
    2016/06/01 02:15:00 428.583250 
    2016/06/01 02:30:00 428.580330 
    2016/06/01 02:45:00 428.575670 
    2016/06/01 03:00:00 428.581750 
    2016/06/01 03:15:00 428.577080 
    2016/06/01 03:30:00 428.578250 
    2016/06/01 03:45:00 428.575920 
    2016/06/01 04:00:00 428.578500 
    2016/06/01 04:15:00 428.580000 
    2016/06/01 04:30:00 428.576750 
    2016/06/01 04:45:00 428.578250 
    2016/06/01 05:00:00 428.577080 
    2016/06/01 05:15:00 428.574170 
    2016/06/01 05:30:00 428.574750 
    2016/06/01 05:45:00 428.576750 
    2016/06/01 06:00:00 428.573830 
    2016/06/01 06:15:00 428.578250 
    2016/06/01 06:30:00 428.574170 
    2016/06/01 06:45:00 428.573830 
    2016/06/01 07:00:00 428.574170 
    2016/06/01 07:15:00 428.578250 
    2016/06/01 07:30:00 428.571830 
    2016/06/01 07:45:00 428.571250 
    2016/06/01 08:00:00 428.570670 
    2016/06/01 08:15:00 428.568000 
    2016/06/01 08:30:00 428.576170 
    2016/06/01 08:45:00 428.573000 
    2016/06/01 09:00:00 428.574170 
    2016/06/01 09:15:00 428.570670 
    2016/06/01 09:30:00 428.571250 
    2016/06/01 09:45:00 428.572670 
    2016/06/01 10:00:00 428.568330 
    2016/06/01 10:15:00 428.569500 
    2016/06/01 10:30:00 428.568330 
    2016/06/01 10:45:00 428.569170 
    2016/06/01 11:00:00 428.572420 
    2016/06/01 11:15:00 428.571750 
    2016/06/01 11:30:00 428.567420 
    2016/06/01 11:45:00 428.568830 
    2016/06/01 12:00:00 428.568830 
    2016/06/01 12:15:00 428.567670 
    2016/06/01 12:30:00 428.572330 
    2016/06/01 12:45:00 428.572920 
    2016/06/01 13:00:00 428.569750 
    2016/06/01 13:15:00 428.567670 
    2016/06/01 13:30:00 428.573500 
    2016/06/01 13:45:00 428.572920 
    2016/06/01 14:00:00 428.578170 
    2016/06/01 14:15:00 428.581170 
