----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/05/31 11:00:00 429.916580 
    2016/05/31 11:15:00 429.920000 
    2016/05/31 11:30:00 430.515580 
    2016/05/31 11:45:00 430.509750 
    2016/05/31 12:00:00 430.508000 
    2016/05/31 12:15:00 430.511250 
    2016/05/31 12:30:00 430.513830 
    2016/05/31 12:45:00 430.517080 
    2016/05/31 13:00:00 430.518830 
    2016/05/31 13:15:00 430.518830 
    2016/05/31 13:30:00 430.522330 
    2016/05/31 13:45:00 430.520580 
    2016/05/31 14:00:00 430.525830 
    2016/05/31 14:15:00 430.529330 
    2016/05/31 14:30:00 430.529910 
    2016/05/31 14:45:00 430.531660 
    2016/05/31 15:00:00 430.531660 
    2016/05/31 15:15:00 430.533410 
    2016/05/31 15:30:00 430.538660 
    2016/05/31 15:45:00 430.535160 
    2016/05/31 16:00:00 430.532830 
    2016/05/31 16:15:00 430.535160 
    2016/05/31 16:30:00 430.535160 
    2016/05/31 16:45:00 430.535160 
    2016/05/31 17:00:00 430.536910 
    2016/05/31 17:15:00 430.534580 
    2016/05/31 17:30:00 430.532580 
    2016/05/31 17:45:00 430.531080 
    2016/05/31 18:00:00 430.522580 
    2016/05/31 18:15:00 430.515000 
    2016/05/31 18:30:00 430.526080 
    2016/05/31 18:45:00 430.529330 
    2016/05/31 19:00:00 430.531330 
    2016/05/31 19:15:00 430.531330 
    2016/05/31 19:30:00 430.532580 
    2016/05/31 19:45:00 430.527830 
    2016/05/31 20:00:00 430.529080 
    2016/05/31 20:15:00 430.529080 
    2016/05/31 20:30:00 430.526080 
    2016/05/31 20:45:00 430.529580 
    2016/05/31 21:00:00 430.529330 
    2016/05/31 21:15:00 430.529580 
    2016/05/31 21:30:00 430.531080 
    2016/05/31 21:45:00 430.532830 
    2016/05/31 22:00:00 430.531080 
    2016/05/31 22:15:00 430.531330 
    2016/05/31 22:30:00 430.534580 
    2016/05/31 22:45:00 430.532250 
    2016/05/31 23:00:00 430.532250 
    2016/05/31 23:15:00 430.532500 
    2016/05/31 23:30:00 430.534000 
    2016/05/31 23:45:00 430.534000 
    2016/06/01 00:00:00 430.534000 
    2016/06/01 00:15:00 430.532500 
    2016/06/01 00:30:00 430.534000 
    2016/06/01 00:45:00 430.531660 
    2016/06/01 01:00:00 430.530160 
    2016/06/01 01:15:00 430.533410 
    2016/06/01 01:30:00 430.531660 
    2016/06/01 01:45:00 430.530160 
    2016/06/01 02:00:00 430.531660 
    2016/06/01 02:15:00 430.531660 
    2016/06/01 02:30:00 430.529330 
    2016/06/01 02:45:00 430.531080 
