----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/02 01:30:00 428.609000 
    2016/06/02 01:45:00 428.608250 
    2016/06/02 02:00:00 428.608000 
    2016/06/02 02:15:00 428.607500 
    2016/06/02 02:30:00 428.607750 
    2016/06/02 02:45:00 428.607000 
    2016/06/02 03:00:00 428.606750 
    2016/06/02 03:15:00 428.607000 
    2016/06/02 03:30:00 428.602500 
    2016/06/02 03:45:00 428.604250 
    2016/06/02 04:00:00 428.602500 
    2016/06/02 04:15:00 428.602750 
    2016/06/02 04:30:00 428.602750 
    2016/06/02 04:45:00 428.604250 
    2016/06/02 05:00:00 428.602750 
    2016/06/02 05:15:00 428.601000 
    2016/06/02 05:30:00 428.599500 
    2016/06/02 05:45:00 428.597750 
    2016/06/02 06:00:00 428.601000 
    2016/06/02 06:15:00 428.599500 
    2016/06/02 06:30:00 428.595750 
    2016/06/02 06:45:00 428.594500 
    2016/06/02 07:00:00 428.599500 
    2016/06/02 07:15:00 428.592750 
    2016/06/02 07:30:00 428.594750 
    2016/06/02 07:45:00 428.594500 
    2016/06/02 08:00:00 428.593000 
    2016/06/02 08:15:00 428.591250 
    2016/06/02 08:30:00 428.593000 
    2016/06/02 08:45:00 428.593250 
    2016/06/02 09:00:00 428.590000 
    2016/06/02 09:15:00 428.590000 
    2016/06/02 09:30:00 428.586500 
    2016/06/02 09:45:00 428.584750 
    2016/06/02 10:00:00 428.584500 
    2016/06/02 10:15:00 428.581000 
    2016/06/02 10:30:00 428.581000 
    2016/06/02 10:45:00 428.581250 
    2016/06/02 11:00:00 428.582750 
    2016/06/02 11:15:00 428.579250 
    2016/06/02 11:30:00 428.579500 
    2016/06/02 11:45:00 428.579250 
    2016/06/02 12:00:00 428.580250 
    2016/06/02 12:15:00 428.582000 
    2016/06/02 12:30:00 428.576500 
    2016/06/02 12:45:00 428.574250 
    2016/06/02 13:00:00 428.580250 
    2016/06/02 13:15:00 428.577750 
    2016/06/02 13:30:00 428.578500 
    2016/06/02 13:45:00 428.576750 
    2016/06/02 14:00:00 428.572500 
    2016/06/02 14:15:00 428.574000 
    2016/06/02 14:30:00 428.572000 
    2016/06/02 14:45:00 428.570250 
    2016/06/02 15:00:00 428.572500 
    2016/06/02 15:15:00 428.570500 
    2016/06/02 15:30:00 428.572000 
    2016/06/02 15:45:00 428.571750 
    2016/06/02 16:00:00 428.568250 
    2016/06/02 16:15:00 428.568500 
    2016/06/02 16:30:00 428.570250 
    2016/06/02 16:45:00 428.570000 
    2016/06/02 17:00:00 428.568250 
    2016/06/02 17:15:00 428.570250 
    2016/06/02 17:30:00 428.570250 
    2016/06/02 17:45:00 428.570250 
    2016/06/02 18:00:00 428.571750 
    2016/06/02 18:15:00 428.573500 
    2016/06/02 18:30:00 428.572000 
    2016/06/02 18:45:00 428.574500 
    2016/06/02 19:00:00 428.574500 
    2016/06/02 19:15:00 428.572750 
    2016/06/02 19:30:00 428.572750 
    2016/06/02 19:45:00 428.569250 
    2016/06/02 20:00:00 428.574500 
    2016/06/02 20:15:00 428.574500 
    2016/06/02 20:30:00 428.574250 
    2016/06/02 20:45:00 428.574250 
    2016/06/02 21:00:00 428.576000 
    2016/06/02 21:15:00 428.574250 
    2016/06/02 21:30:00 428.577750 
    2016/06/02 21:45:00 428.576250 
