----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/02 01:15:00 428.520750 
    2016/06/02 01:30:00 428.520500 
    2016/06/02 01:45:00 428.518170 
    2016/06/02 02:00:00 428.520250 
    2016/06/02 02:15:00 428.517590 
    2016/06/02 02:30:00 428.520170 
    2016/06/02 02:45:00 428.520170 
    2016/06/02 03:00:00 428.517590 
    2016/06/02 03:15:00 428.518420 
    2016/06/02 03:30:00 428.513170 
    2016/06/02 03:45:00 428.514920 
    2016/06/02 04:00:00 428.513170 
    2016/06/02 04:15:00 428.512590 
    2016/06/02 04:30:00 428.513750 
    2016/06/02 04:45:00 428.515840 
    2016/06/02 05:00:00 428.510590 
    2016/06/02 05:15:00 428.512340 
    2016/06/02 05:30:00 428.511420 
    2016/06/02 05:45:00 428.507920 
    2016/06/02 06:00:00 428.513500 
    2016/06/02 06:15:00 428.510000 
    2016/06/02 06:30:00 428.508250 
    2016/06/02 06:45:00 428.507340 
    2016/06/02 07:00:00 428.511170 
    2016/06/02 07:15:00 428.503840 
    2016/06/02 07:30:00 428.509090 
    2016/06/02 07:45:00 428.506500 
    2016/06/02 08:00:00 428.504420 
    2016/06/02 08:15:00 428.504750 
    2016/06/02 08:30:00 428.503590 
    2016/06/02 08:45:00 428.503000 
    2016/06/02 09:00:00 428.500920 
    2016/06/02 09:15:00 428.500920 
    2016/06/02 09:30:00 428.493670 
    2016/06/02 09:45:00 428.493670 
    2016/06/02 10:00:00 428.497170 
    2016/06/02 10:15:00 428.495420 
    2016/06/02 10:30:00 428.493670 
    2016/06/02 10:45:00 428.494500 
    2016/06/02 11:00:00 428.493670 
    2016/06/02 11:15:00 428.489000 
    2016/06/02 11:30:00 428.490170 
    2016/06/02 11:45:00 428.492500 
    2016/06/02 12:00:00 428.490170 
    2016/06/02 12:15:00 428.494250 
    2016/06/02 12:30:00 428.490170 
    2016/06/02 12:45:00 428.491590 
    2016/06/02 13:00:00 428.493090 
    2016/06/02 13:15:00 428.490750 
    2016/06/02 13:30:00 428.490170 
    2016/06/02 13:45:00 428.490750 
    2016/06/02 14:00:00 428.485170 
    2016/06/02 14:15:00 428.488420 
    2016/06/02 14:30:00 428.484920 
    2016/06/02 14:45:00 428.484340 
    2016/06/02 15:00:00 428.485170 
    2016/06/02 15:15:00 428.484590 
    2016/06/02 15:30:00 428.485500 
    2016/06/02 15:45:00 428.488420 
    2016/06/02 16:00:00 428.486090 
    2016/06/02 16:15:00 428.482840 
    2016/06/02 16:30:00 428.482840 
    2016/06/02 16:45:00 428.484920 
    2016/06/02 17:00:00 428.481420 
    2016/06/02 17:15:00 428.482250 
    2016/06/02 17:30:00 428.484000 
    2016/06/02 17:45:00 428.481670 
    2016/06/02 18:00:00 428.483170 
    2016/06/02 18:15:00 428.484920 
