Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 16:04:16,2.3920965E-83
5/31/2016 16:07:09,2.39193675E-83
5/31/2016 16:10:36,2.39175675E-83
5/31/2016 16:11:52,2.39170125E-83
5/31/2016 16:14:16,2.391606E-83
5/31/2016 16:17:09,2.39146425E-83
5/31/2016 16:20:36,2.391297E-83
5/31/2016 16:21:52,2.391243E-83
5/31/2016 16:24:16,2.44666725E-83
5/31/2016 16:27:09,2.4465285E-83
5/31/2016 16:30:36,2.44635E-83
5/31/2016 16:31:52,2.44627875E-83
5/31/2016 16:34:16,2.44612875E-83
5/31/2016 16:37:09,2.445978E-83
5/31/2016 16:40:36,2.44579725E-83
5/31/2016 16:41:52,2.44572825E-83
5/31/2016 16:44:16,2.417889E-83
5/31/2016 16:47:09,2.4177435E-83
5/31/2016 16:50:36,2.417586E-83
5/31/2016 16:51:52,2.41753725E-83
5/31/2016 16:54:16,2.47286775E-83
5/31/2016 16:57:09,2.47271475E-83
5/31/2016 17:00:36,2.47252425E-83
5/31/2016 17:01:52,2.472441E-83
5/31/2016 17:04:16,2.4723345E-83
5/31/2016 17:07:09,2.4721965E-83
5/31/2016 17:10:36,2.47202925E-83
5/31/2016 17:11:52,2.47196925E-83
5/31/2016 17:14:16,2.44406925E-83
5/31/2016 17:17:09,2.44392975E-83
5/31/2016 17:20:36,2.443776E-83
5/31/2016 17:21:52,2.44371375E-83
5/31/2016 17:24:16,2.415819E-83
5/31/2016 17:27:09,2.4156825E-83
5/31/2016 17:30:36,2.41551825E-83
5/31/2016 17:31:52,2.41545675E-83
5/31/2016 17:34:16,2.387598E-83
5/31/2016 17:37:09,2.3874675E-83
5/31/2016 17:40:36,2.38731075E-83
5/31/2016 17:41:52,2.38725525E-83
5/31/2016 17:44:16,2.38715475E-83
5/31/2016 17:47:09,2.387034E-83
5/31/2016 17:50:36,2.3868915E-83
5/31/2016 17:51:52,2.386839E-83
5/31/2016 17:54:16,2.44224075E-83
5/31/2016 17:57:09,2.44213125E-83
5/31/2016 18:00:36,2.44199175E-83
5/31/2016 18:01:52,2.4419415E-83
5/31/2016 18:04:16,2.4140835E-83
5/31/2016 18:07:09,2.4139365E-83
5/31/2016 18:10:36,2.41378575E-83
5/31/2016 18:11:52,2.41372875E-83
5/31/2016 18:14:16,2.38591725E-83
5/31/2016 18:17:09,2.3857965E-83
5/31/2016 18:20:36,2.385675E-83
5/31/2016 18:21:52,2.38563075E-83
5/31/2016 18:24:16,2.385507E-83
5/31/2016 18:27:09,2.385363E-83
5/31/2016 18:30:36,2.38521E-83
5/31/2016 18:31:52,2.3851515E-83
5/31/2016 18:34:16,2.38500825E-83
5/31/2016 18:37:09,2.38484175E-83
5/31/2016 18:40:36,2.3846715E-83
5/31/2016 18:41:52,2.3846085E-83
5/31/2016 18:44:16,2.38449E-83
5/31/2016 18:47:09,2.38435425E-83
5/31/2016 18:50:36,2.38419825E-83
5/31/2016 18:51:52,2.38414125E-83
5/31/2016 18:54:16,2.38403925E-83
5/31/2016 18:57:09,2.38391925E-83
5/31/2016 19:00:36,2.3837775E-83
5/31/2016 19:01:52,2.38372875E-83
5/31/2016 19:04:16,2.4113385E-83
5/31/2016 19:07:09,2.41123425E-83
5/31/2016 19:10:36,2.41110225E-83
5/31/2016 19:11:52,2.411055E-83
5/31/2016 19:14:16,2.41096425E-83
5/31/2016 19:17:09,2.410857E-83
5/31/2016 19:20:36,2.4107295E-83
5/31/2016 19:21:52,2.41068525E-83
5/31/2016 19:24:16,2.3551905E-83
5/31/2016 19:27:09,2.3550825E-83
5/31/2016 19:30:36,2.35496475E-83
5/31/2016 19:31:52,2.35492275E-83
5/31/2016 19:34:16,2.3548155E-83
5/31/2016 19:37:09,2.35469175E-83
5/31/2016 19:40:36,2.35455675E-83
5/31/2016 19:41:52,2.3545065E-83
5/31/2016 19:44:16,2.38206675E-83
5/31/2016 19:47:09,2.38195425E-83
5/31/2016 19:50:36,2.38178175E-83
5/31/2016 19:51:52,2.3817255E-83
5/31/2016 19:54:16,2.40921E-83
5/31/2016 19:57:09,2.40907875E-83
5/31/2016 20:00:36,2.408883E-83
5/31/2016 20:01:52,2.408808E-83
5/31/2016 20:04:16,2.408718E-83
